Imports of goods and services (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Benin,12.1102860085555,9.53463213356699,9.95930450390853,11.6258988081287,12.2431651286142,14.9057105194672,16.1960629917793,19.7722663341912,19.0765867991566,21.4285057559751,24.4613236171365,27.8326141045902,26.8001493516622,25.9501669479312,29.494648368003,33.4129820117323,31.0285114097476,34.7807829061258,34.5453644386975,37.0217886924648,37.3221067160492,43.9588716437566,40.0862995544228,31.5777226899247,30.9319281738015,36.6485996284201,32.6154967492616,30.9506071049369,32.0830888061089,24.8049383749261,26.3286985207887,28.0990814858215,28.5516898103904,28.0689355833867,29.9398058339708,33.0484012410541,29.5239486337156,28.8759747633465,27.4991311226352,28.8277901710178,28.1176035231213,27.8957836529557,27.485051361987,26.5244934474588,26.0593022168179,26.1109882821136,22.6956943210275,31.5526127685189,28.8478246340974,28.2478305257785,27.7304273712407,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5581280056036,36.5450162294624,38.9863505466425,36.1392745571707,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,51.2413748907189,49.2130414589362,48.6623877730561,47.3591137962113,52.7479531513034,55.9337284183594,42.1870358992338,53.2523046134756,40.0826012023679,32.6686333694224,41.1907957586093,58.8310524371926,45.6403681115337,42.1611743730217,45.0960106135098,48.0132310178885,49.2229918661674,52.3686791625195,53.5565728473012,51.3299657518862,49.2425193256091,45.1676933111095,42.9531200689146,49.8692522258448,62.7538968932851,67.0222208016994,57.2807416618645,57.7097905612753,71.9707138598741,,
Bolivia,,,,,,,,,,,24.3545183714002,24.4044874750269,24.0191387559809,28.3187591500811,26.7976966639699,32.2166341078183,29.8853097733633,29.6464904538487,30.1082418020797,27.3960758230795,22.285486894236,22.953747783683,29.4039143210724,24.0390414991457,25.8198698985578,22.8428405912611,25.7403930999349,24.6899918442485,23.1388052076438,23.1564691052451,23.9262861693516,26.9656214990779,29.0650940847877,28.3863603644655,27.1975392567704,27.1865671660016,27.2744198851408,29.3590598702418,32.582478073213,27.2873571400071,27.3230299876423,25.2556732828302,27.7158052589277,26.3671019312505,26.3258755837388,32.0937984214582,32.7661341999321,34.2662546827262,37.9604648976864,32.9044491177556,34.3241697470287,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.3989385162053,71.467872151341,83.8823375521866,72.7973303816298,98.3634125006459,94.1766626803181,75.5002713917578,75.9264249262402,70.9293546627724,83.1684914895203,77.4968036536584,72.9110638499938,66.7478359740516,80.0852681417357,77.8862314386905,54.5035047815555,56.7454257946098,
Botswana,39.6439018782082,42.5254251011595,44.8389255995574,47.34542635841,48.5766440279405,50.609756097561,50.9485094850948,50.7734931449839,62.9473684210526,52.5652565256526,60.9137055837564,61.5638766519824,60.5428796223446,61.96518146946,64.7751863428709,63.7921187892633,66.3214837712519,69.3096646942801,68.5243889968299,65.2499251721042,66.4423018616215,71.5303283249861,69.2741974068226,62.5656180736478,57.9621985661525,51.2317593531201,49.1287401123467,48.4421882103349,43.9296496960172,46.1362667074378,49.7919133338532,46.5288711852712,41.5716914916723,39.1120392047935,38.7620566095291,38.059398875789,37.8274290788072,41.3684303239259,42.9353570838328,40.8827500173054,41.2011724336132,35.362522454214,35.4271578737308,34.3745472898707,36.8901039935504,34.4565741128626,30.6638762130914,35.4216490055504,41.7771791008104,45.2437274501253,39.7360125693205,
Brazil,7.11728411014754,7.33946134164013,5.18897358505134,9.1110007605305,5.6775996132757,5.55592498678403,5.99166903898783,5.76897098161852,6.61038438565899,6.55371305622268,7.4497591952614,8.13797345998956,8.84407556897319,9.50158100821532,13.883728075717,11.5055802997066,9.43261782445219,7.91774763892886,7.86439436061065,9.17556778838709,11.3058307071272,9.79944909477266,8.27447902364322,9.00834119427506,7.92438729315418,7.09531456077168,6.35457655453682,6.19266264606589,5.6925380487004,5.46126798028507,6.9617655463444,7.91394363164215,8.38509475389318,9.09604606631945,9.1616224760672,8.77500166075103,8.36609897131222,9.02042327305241,8.93222026499196,10.8160563380282,11.7416798221592,13.4969004773695,12.5829768402419,12.0751928882531,12.5481458131814,11.5200031296004,11.4657452846274,11.8467586302259,13.4746809223633,11.1774228083913,12.1467040221346,
Brunei,,,,,,,,,,,,,,,17.3534133476034,23.4262200404274,18.2588663576121,16.0878205734835,14.4727305671317,14.137868822883,11.6642662219527,13.713480405442,17.2264533450222,18.9810312780807,,,,,,35.2078918328102,37.2668860680144,40.17200938233,47.9090242112986,51.7636418450407,48.406214960756,55.8271236959762,60.6405101899348,58.4942335104315,57.4041297935103,48.4032320123124,35.8172934801844,39.1935647484115,41.6261388277381,35.9692158259539,31.790523864818,27.2891691990202,25.2164514040536,27.8978676374984,27.6146073860544,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,30.6886114971641,34.52261089738,33.2164872857834,36.9396190799366,38.2461496658078,43.2022388747093,43.4699243763392,42.6223548214138,45.8960848239889,48.1583720648406,36.7278694359334,39.2041267501842,52.9382470119522,45.8347273335564,45.6725631659056,49.9061373778725,56.8069193883225,53.4115668552848,58.0836646202288,60.576348863365,55.7996940310946,58.1442464316875,55.5351768760312,58.8575599905633,63.3920934473929,55.6270743809146,78.7961084743452,79.1834196675224,78.7320486909925,56.3407683162033,59.7015377321509,
Burkina Faso,15.8394046487851,15.7899764200875,15.7059646907656,15.6690092444497,11.5184394632616,11.3766206291249,11.6484883272252,13.9273070636364,15.2873907020452,16.5323945889054,16.1417701724909,19.93108909941,21.2889996507972,22.9195387285666,24.472915715358,30.151116345939,27.0082432404347,30.4432668892239,27.7508292769528,29.2824436876041,31.2625076542602,31.4351136485172,31.6240353154871,29.5741478497021,28.7577920426134,31.026082282962,28.9711662886706,28.0811295288787,27.1309820883142,23.6458973542326,24.4559590318019,23.3486879877123,19.5275360091039,20.6735406760345,25.02760109018,26.6069148759485,27.6166925593278,26.6038877835454,28.1316805540209,24.006332477116,25.1877829965379,23.1258270172355,21.1768276878748,21.7245059903055,24.2769983708018,25.6172664971357,26.8077204694966,,,,,
