Tax revenue (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Lesotho,39.8879693943804,42.368248309543,43.6332215522615,47.6366608866918,48.401840916275,47.8601705694414,45.4044308066992,46.2109228844391,38.2270064399645,39.353147079461,37.3776995041952,40.2457376497936,38.2663851324989,40.8942236130945,46.7175740854861,46.1859282412141,61.0181185575545,56.8941031642638,58.8582689858271,,,
Liberia,,,,,,,,,,,,,,,,0.23959182771,0.228126402974983,0.311015540856539,0.318976728159059,,,
Libya,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,14.5550191530671,14.3874301199295,17.294186106806,17.0835718072873,16.9619986666199,17.2599652513725,17.8571083475858,17.7478055439849,17.3842300552459,13.9787725048683,13.3584740297178,
Luxembourg,,,,,,,,,,25.5029637371974,26.3752141653884,25.9406482175848,25.3749927979143,24.5545982457378,24.3971511572444,25.248063930853,24.1639978565328,24.0104658027577,23.6706842635908,24.4945902470943,24.4856861240503,
"Macao, China",,,,,,,14.1872567144395,17.3635891496288,15.6269860284488,15.7053008565722,16.567304364279,17.339245637433,18.1998314227989,20.9364286140134,22.144127878002,21.7143630971082,21.6448862327724,26.0532676116065,30.7147017453956,29.6976680155782,34.7348167121885,
"Macedonia, FYR",,,,,,,,,,,,,,,,19.2615755992164,18.9177571600861,19.4876951539635,19.0944490529436,,,
Madagascar,,,,,,,,,,,11.3260830447828,9.73894115486739,7.66963419363322,10.0089825071768,10.8775238476274,10.1056230978936,10.6709445885519,11.4329106023142,13.0043872984669,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,19.3778503209833,19.7533666432124,16.7301582344219,14.0937078196333,13.6669089031737,17.7948888050621,17.4469550876406,15.4956551225138,15.1990937626569,15.4261214099092,15.0808074284391,14.8226053657914,15.2056297627441,15.6638410560629,14.2976836316564,
Maldives,13.9623192639112,14.6140952989065,14.9589823640772,13.7345373227277,13.0045821514292,13.5963884925789,13.4521788341822,14.4455044148385,14.2002404073801,14.0915703839537,13.7961100788493,10.8457082456813,10.4716411038531,10.6334652004828,12.1543047725864,13.7404093091512,14.4417704938008,15.0245400994016,14.6965358290264,11.9035124309826,,
Mali,,,,,,,,,,,13.1520130369393,13.9488803755771,13.0013925681659,13.7661785378272,15.2884759253669,15.6560899113477,15.6626751201433,14.8817518248175,13.2743674929721,14.7482163949917,,
Malta,,,,,,,,,,,,,,24.8823332669248,26.100211795138,26.1808066615329,27.2857043553811,28.2150585031111,26.8301327406824,27.6352530969792,26.5357374400393,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,18.6947366783172,18.5351610033399,
