Trade balance (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cambodia,-8.07174763827949,-5.77777784351605,-9.09090788193626,-3.5294107253518,-0.729927955245369,-0.986842105263158,-5,-1.18694362919459,-2.14477219156323,-3.59712232424133,-2.00501251846408,,,,,,,,,,,,,,,,,,,,,,,-16.6101105274179,-12.8841131737843,-15.3983649842083,-18.4335533187784,-11.7007733067173,-13.1431814151849,-13.0885157209014,-11.9170636358428,-8.67009490470313,-8.84867052208794,-10.0398715312189,-7.2996273421235,-8.66251555423433,-7.42804754546383,-7.61621076817138,-2.23375797438402,-6.69694836998648,-5.4381526523422,
Cameroon,,,,,,-0.501253889249419,-2.5825015900159,-1.95397170085419,-2.50965232647099,0.524292301100471,1.53991069432429,-4.13981496170827,-5.69388032973418,-3.30344226360533,2.6381663725981,-2.85807564543812,-4.72202232823228,-2.74580322069366,-4.46683082431731,-7.16384811388429,0.753357291012561,-6.54707173295517,4.30328219966866,1.09401567677263,2.48516814711701,1.87295374285165,0.556934177488334,-3.93178240209571,0.071340879825656,2.93758949149616,2.86938335878176,5.35898156720075,2.2314523252,0.614315272390065,4.21743907311226,5.78144180583399,4.98993617713966,3.06830730399117,3.72409415790491,4.33814485115734,3.59139404820117,-1.29431149348018,-0.783143342874486,0.327601006448782,-0.430173609154662,-1.01604644783762,2.05059920106525,0.814057999366562,-3.0200395145357,-4.83101012029788,-3.10759834740435,
Canada,-1.1695036100276,-0.298851800152234,-0.010335720450726,0.80362642643797,1.03310800963671,-0.117013515257483,0.030756827398373,1.01622238937135,1.21456841162882,0.102542463109426,2.54272058905067,1.64585640410855,0.906171244529764,1.40900772356463,0.140225139251354,-1.75324413521406,-0.715021450643519,-0.173776886768972,0.372431873961213,0.560847279997997,1.85311237634785,0.725717186680759,3.8948662530044,3.25630915976723,3.52460730189376,2.32688372169631,0.970849161335386,1.18025079211162,0.770681167977504,0.032384207453537,0.130750484247435,-0.5737072254719,-0.37245888533577,-0.001237650993421,1.18216619339372,3.19116119176828,4.02634119761395,1.96356089553693,2.00355638909563,3.65976175668564,5.75286300933421,5.7422602630933,4.41354664955048,3.76013353390896,4.31216525448019,3.72421925326365,2.50971280435465,1.93927911353965,1.52305886549858,-1.68745932759314,-1.87866857728141,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.54365056243,-24.9451535285184,-26.4680476180063,-34.1791612635566,-30.9939187072626,-30.428061196017,-37.9825617465989,-36.0117672831329,-40.5104455251299,-39.996233901254,-32.1519692348495,-30.358630952381,-35.1068393821519,-38.440786586628,-33.5061712166809,-32.544896785967,-35.999788945053,-36.0396784588539,-37.5588238214557,-28.7891188773054,-27.5522867030038,-34.9466599886249,-33.1869169169862,-32.1614446432765,-28.0068372072171,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,-10.9090877270748,-9.27152302162186,-13.1147423750619,-13.2492126506184,-12.3563207567712,-10.569108401084,-14.1752577319588,-20.5955086848635,-5.31892761763462,-10.263794115969,-9.62385201226951,-7.62422943587259,-8.87828623832771,-7.86884143482826,-15.5992893079512,-18.7896234443692,-7.13974458046508,-9.12050849312256,-10.4654426369525,-12.700372106166,-15.8592376430059,-9.67629389098014,-12.0467544551444,-12.4672617868592,-12.1076831090165,-11.9600049468409,-14.0247280388432,-12.8467577611851,-10.3809308225273,-9.20376936270294,-12.8607885699412,-9.82605654310078,-12.609105642857,-8.34665283069209,-5.71407734619973,-7.30330011832982,-3.72603945926197,-5.41500770152319,-8.23794108125607,-3.41474277769195,-4.34959303424924,-4.48424002908443,-4.63259270199081,-4.51315874646139,-6.17148967461082,-8.77294438811807,-7.87595144426452,-7.49753923739237,-12.9279279279279,-8.04207019861341,,
Chad,-3.64792302419235,-4.6457428231962,-5.59857119578494,-6.26371943569636,-7.60183052191563,-4.31278359715387,-4.05060373561744,-3.80223639513245,-3.74401653259018,-4.49208683636603,-5.78989397592336,-5.14524401001321,-4.81896096490796,-7.77147589602383,-8.41265595015424,-11.4479443719879,-10.3002972971913,-13.0185716151194,-11.5448279330368,-16.8590276085961,-11.9207700112024,-7.56085846057072,-6.93285464598856,-7.12265263303094,-6.03522427231482,-19.4203951844247,-21.9816902847876,-20.9832298532028,-15.0850963078957,-17.6272428499942,-14.4266069453293,-12.4462752041155,-13.723067254839,-16.0004410957152,-18.7771473552348,-11.838521477844,-11.5230147008055,-12.2254289740264,-11.0757307707899,-13.8716262224069,-17.7909791496645,-34.9903329512878,-100.970926659581,-34.112981145499,0.24912519074626,17.1636168226144,22.0124052707571,2.50000000000001,2.6,-28,-24.8,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-2.24425230153684,-4.0138143448306,-1.70311720690822,-2.22993283442303,-0.74175821322908,1.0465724751439,1.11069974083673,1.14155251141552,0.822199383350462,2.26982550716414,0.592417061611374,-0.995634525541855,-3.4126852005993,-1.8142637642008,0.676443410233529,-1.97283193794748,4.32910149092095,-1.80187507629575,-3.34327415061091,-2.83093246113143,-4.15801823503919,-10.3361731836674,-1.88488597363899,2.69183493229434,-1.10874262251133,2.43455691717999,3.05909934139738,2.90661252659923,6.99456873719413,4.73758364691993,3.436365690301,4.62607531040763,1.642900895282,-1.99572733218267,1.66365886112974,2.20014516117239,-1.68839875957225,-2.11930626465111,-3.26607129577267,2.27224590561471,1.86356144236352,1.53370651076589,2.41678645945487,4.111991606884,9.17397370471419,8.5143728875771,15.0564503058321,14.0033131981878,3.61981054116427,7.75535047751793,6.87261945311822,
China,,,,,,,,,,,-0.094856946366152,-0.256691163057471,-0.243046105149481,0.547927653243949,-0.284841123638408,0.02333048975105,0.34175818168302,0.375633144781476,-0.464573693147262,-0.921222625709915,-0.365364390442251,0.506797396049655,2.36830586642189,1.12538107405897,0.020976401191022,-4.07641312281648,-2.48126560576758,0.107629434307549,-1.31202040459236,-1.43266775433473,2.98876355025638,3.05716944391626,1.18250830247865,-2.67695253919281,1.31557134443758,1.64256617256591,2.05014696221722,4.49513242749459,4.29994416948046,2.64908932377744,2.40918555541609,2.11987276754227,2.57132779460584,2.19865230486238,2.55138289204882,5.52960063528318,7.70054485778956,8.80000219968898,7.71524381088982,4.40971134448245,3.91623409155488,
