"Industry, value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cyprus,,,,,,,,,,,,,,,,25.1750972762647,28.8409703504044,30.9855826045853,33.1293188548864,33.2168942521434,33.6446139681704,32.4086757990867,30.8615474680457,30.0870950671128,29.0264692687304,28.4914322707636,27.5907296627501,27.4969104594989,27.5013769426885,26.5762768175635,25.9263606839613,26.7394474146633,25.5599600373845,24.6801233700798,23.2256827457748,22.4748452012384,22.2179523330646,21.2893450612317,20.5907768465847,19.6400316455696,19.0735292744202,18.7404332054266,19.2339714067297,19.3596826518485,19.6996980814626,19.4683221679202,18.9727669636784,18.968011573702,19.59145351603,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7541383516292,49.1088812340872,50.8207660483118,42.4194638432079,43.6172351276191,38.3061408839821,41.8222606762644,40.5580931239545,39.2220786162637,38.7906062184353,38.0721733790585,37.7432506959399,36.7273608733966,35.8610019824545,38.5843969074325,37.8697023840673,38.2060488502782,38.444926716742,37.6106507760495,37.7029802771803,37.648742796847,
Denmark,,,,,,,33.0054792794919,32.8601571281338,32.4518512291188,31.9967382842964,31.481089244767,31.0551439510716,30.6481825669283,29.5236131418788,28.8809064502539,28.5578453155714,27.4723714108655,27.1150494918267,26.609286059618,25.9060678163942,27.2195957924595,25.6925155363415,25.7794342624426,26.0490915050743,26.3723046011966,26.6427225730064,26.856877376998,26.7090693656203,26.2102943123016,26.0533514741855,25.6188014748958,25.2753751755748,25.3910285489915,24.4566194657549,24.6399004811575,25.0766025248192,25.4012599049301,25.6341681017491,25.6383781302018,26.0036770332657,26.8097521104548,25.8054104882838,25.5712019461823,24.9548317910922,24.6707399322364,25.5089941139438,26.1294183402214,25.6355282881136,25.5258431104611,22.3398603680294,21.891243939403,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5701790329646,22.0483755089008,21.6580420348293,17.1212976401656,15.1861577188042,14.1462975235326,15.4414991095166,15.7291097760786,15.3305476024659,14.698807071218,14.8891983385753,15.3524324855082,15.6506993450808,15.9891566500878,16.1605443938752,16.6228295788728,16.6060597407303,16.3823693539916,16.8856594254734,,,,
Dominica,,,,,,,,,,,,,,,,,,14.622641509434,14.0942131596337,14.6502835538752,20.9405871712815,20.2733634163887,20.4767726161369,18.4015075933932,18.2544772805762,16.6159082766034,14.5299482765428,14.7727665043745,16.8003257941232,18.5004147410831,18.6161583387411,18.7352710133543,20.3179839743783,20.6398590331155,20.2809375379509,21.9581369337701,21.6506360051539,21.8586610790028,22.3813756324354,22.4145007112803,18.3776314473645,17.7151762705914,17.7122254377857,15.6272402018952,15.5181532719033,15.4777272570453,15.7711354953637,16.3139724844773,16.2163684069469,15.2437300269999,15.1020023469509,
Dominican Rep.,,,,,,21.9232076360124,25.0533582663813,27.2709702357944,25.7622084844864,26.5826906547307,26.1411056462699,26.9803168506961,27.6304554340938,28.0547629518733,28.4625386929177,31.6311487687633,31.3407911134815,29.5044803207436,28.9711796246649,30.0229128095343,28.2913584963585,27.6317607410621,28.6037174130397,29.0303876924276,28.343530478582,18.0552536623531,23.6661110331719,20.6975646794326,25.4372989904668,31.8943587894437,31.411398860208,36.3604486243,35.8361642843,35.7078610534,35.9833396179,35.8159950966,37.1992626884,36.3894789864,37.4184073858,37.3018845255,35.9089728871,34.1680520744,34.9574622903,33.804653687,32.9634112129,32.0586175026,32.1621669985,31.5574236378,32.1877585985,32.4535631656,32.0358456747211,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9618722269647,31.171910055423,34.2837063904641,35.8338999275464,38.1957262117623,38.7587031186162,41.4899504317615,36.2102745123306,38.1151455675022,
Egypt,,,,,,26.8953580660599,26.9514271563221,26.6793935585316,27.1028449067131,27.7462099210493,28.1760368136319,28.188232746473,26.769712230044,24.6038391650521,25.0655233748376,26.8987341772152,26.1962694842362,27.2232549662096,28.6331909502961,35.8400121245118,36.7789078643329,37.7295818340712,32.447629610879,29.990101906523,29.283601762262,28.5584642101861,26.8140550987801,27.0801656133937,28.8401833454252,27.9814115385498,28.6704878406389,33.2444372523999,33.3389288630138,33.0733442802408,32.755097657808,32.3019737186535,31.6156593598992,31.2150849296436,30.8617492898041,30.9157445898951,33.1320980653664,33.3291835065435,34.3906230698114,35.2476861108281,36.4774554131027,35.9222800689422,38.4289881370214,36.3445200416618,37.5263532770195,37.3211670472923,37.5255210323203,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2360231971788,27.2911458983149,30.2757325751475,30.1274233716306,29.9914726815312,29.6629939392834,29.5891716161899,29.2257878888242,30.1966962906282,31.3244867157834,31.5973227105029,32.1324906363452,32.3851400529748,32.0467945315526,30.5905836347906,29.8520496627137,29.3066543123721,28.4067711952745,27.9497575890154,27.1968363258334,26.9918467328366,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,8.68402425469495,7.71265768374576,8.81802059503072,9.78597557915459,9.66888663349066,10.6437731587414,12.3788341083266,19.4894110407854,23.5912213472985,28.3409378914183,27.2356544111617,48.4858552962997,68.4279585630784,66.4697060270222,79.9925135691559,85.9354185232842,88.5381942823476,88.7112078512018,89.1795065554755,92.1000860562853,94.4256601051551,94.3762072048407,94.5756541817937,95.70767864983,92.5972475411725,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0222767218475,15.6912637828668,14.2328455505381,16.7900343022206,20.9653888721199,23.4022386712403,21.0641559010291,22.8582569701696,22.972472534255,21.8776858537163,23.1183250073436,21.4362310874012,21.3330487978375,21.9199971611107,19.2657262717654,20.0789269124999,26.8515625,22.4441481695013,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6218011330338,42.4019131389552,40.6425041186161,49.6672012637785,40.0521481481482,34.7101515874373,31.0214006357205,30.1725546289876,32.9402357379188,31.137600607584,30.8890569700575,29.0244046612783,26.9085265778513,27.5330920195797,28.1134537218097,28.3425835278007,28.4746907011677,27.9004943549131,28.5956189380436,29.3148936282734,30.0462419449236,29.1418999983442,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,10.586045201428,10.6520068122774,10.254671983959,12.3327330995165,11.0127095693241,11.7043657495257,13.2646627236128,12.4185448311602,12.4292191234699,11.1362200411887,8.6831564543563,7.17979434823614,8.82508663131185,9.82665001669194,9.96779770190887,10.5152569658106,10.6803624802889,12.0207752460305,12.8702750846908,12.3560327163897,13.0224831693341,13.8930891926978,14.0577633048991,14.0526324430132,12.9635817472027,12.6670326437266,13.2713434913261,12.9814165684561,10.7517022998849,14.2825286023042,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,25.0266176783813,26.4056224899598,25.3104106972302,24.7242647058824,25.7459505541347,25.5401234567901,23.9857651245552,23.5642391947898,21.5484569572279,22.7331887201735,22.1556815470877,22.1680876979294,22.3127626270368,22.4325397448523,20.7033283185712,19.6111975116641,21.5422119579163,22.0088758966303,21.2435797833529,21.320070046773,19.7194087715047,19.5080133842005,19.4978101793123,20.0850002337657,21.2215775726134,21.6805626295115,24.1003061187092,23.9689258262028,24.264938218489,25.1652445619517,25.8842820332631,25.5990192800624,24.3102469587908,24.0653118212845,24.9786772117547,24.4538382295478,22.1077968373907,22.2972667231333,23.5402769779873,22.9003678788942,22.0082220638906,23.2469120732004,19.1602929962798,18.9381735634854,18.1167048013463,17.6734735006152,17.8315847372779,19.7008757027198,
Finland,,,,,,35.1445633094902,35.3039478692577,35.2111838330743,35.215436818939,36.9740855283038,38.3892053710054,37.298946312408,38.5397091472672,39.3668309210503,41.3062951095914,39.2165250870867,37.7455212605223,37.5622385978889,37.9169872810392,38.5667651173636,38.3506266001887,37.9538249895329,36.9902033862208,36.8311775094268,36.4407144394233,35.2356187224582,34.4466249490873,34.9888921418362,35.1244151095411,35.3494865167452,33.5598914588448,30.2567849121953,29.7757325423447,30.4269951735736,31.8858818339864,33.2911996184116,32.5201178080286,32.9098223626735,34.4326444889144,34.0485030562405,34.6327865150976,34.0924555060951,33.1327269973616,32.8892971979789,32.5037133098597,32.445789650685,33.5459281258042,33.7507320923837,32.0504537763421,27.9662880175889,29.0430961247341,
France,,,,,,,,,,,34.9403894755021,34.7009284255543,34.768245950666,33.9409560517259,33.1156011810302,33.4288188210777,33.1451757998692,32.7365680015276,32.2523145485396,31.8993960704609,31.8222284596312,30.867771440119,30.0724405960594,29.6994837826076,29.1466577643101,28.9692672402135,28.736377625759,28.304883631845,28.0541934045569,27.2307721352357,27.0935315489455,26.9018058931733,26.2672021870814,25.0362798677157,24.343033602434,24.5367278493754,23.8045902066658,23.5591614826807,23.4326996330723,23.0791851037363,22.9309437996193,22.4600385312156,21.8918136979633,21.3379528800354,20.9744493304306,20.7905744668126,20.547753489613,20.6165619913895,20.4656939915341,19.0270734211375,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,33.9175808643384,31.5653630795148,30.6017320601879,38.1333618591009,30.7543889400602,33.8738738738739,34.9337971744697,37.874251497006,45.5418256401027,45.5865232210736,47.5977547267587,45.5756327307326,51.2442488479263,47.8584047175667,63.3575464083939,62.2837370242214,62.3557224308163,58.2584758041148,57.826409495549,61.7592305305616,60.4291086042911,58.4087660790853,60.6358819076457,56.8366478371895,59.6966970826372,66.5278240586471,47.5006362942224,48.848220597171,35.9495665475742,41.7296892549607,42.9964210786129,44.6122263402268,43.3198221933985,45.2483603773092,52.6190342978612,52.3634453781513,55.3659708871189,53.6521823035605,43.1417769376181,48.8157436433298,56.2551964968682,51.341650505109,51.6990573722798,52.0104572191754,55.299174599826,61.3555317333567,61.1739957928478,60.2526315948174,64.2816009648924,53.4902307427414,59.7034051788902,
Gambia,,,,,,,9.05321354526607,9.2139175257732,9.2258064516129,9.24617196702002,9.27461139896373,9.2156862745098,9.13752913752914,9.11447084233261,9.05760905760906,9.65642894325872,10.6975707599733,10.9264951230772,12.2393326916907,13.5083036773428,14.8596587782058,14.0239963246447,11.7962834132661,12.5535807237617,18.5305187906326,16.1570595825051,13.5613753062131,12.4174124249637,10.784968085186,12.3085836178366,13.1334320542832,13.6966568117729,14.2642253741608,14.2839159011864,13.5589213246326,13.3869569321635,13.9545971760845,13.5620398632708,13.8303684133263,13.1583800674821,13.0707912663057,12.9077151981382,14.5195043736168,14.0233098180778,13.1948164387245,13.2885424614877,14.2500048165579,14.7933112322397,15.0636942922766,15.469715749855,15.7292136649994,
Georgia,,,,,,,,,,,,,,,,,,,,,35.5513307984791,35.9197907585004,38.150289017341,36.400651465798,36.0030511060259,39.6499238964992,37.03125,37.9545454545455,37.3900293255132,38.7218045112782,33.4509527170078,37.1766029246344,23.9430894308943,21.9911351883772,10.2897596032875,15.7795380760142,23.7281022551954,23.6189495516157,22.8938094027415,22.5291555712284,22.3550143995613,21.9714190166387,24.3550581620977,25.6488617715646,26.4212240411031,26.8459938428363,24.8559530339484,24.308828299076,21.8783161298572,21.8634401792496,23.2282488150071,
Germany,,,,,,,,,,,48.0872017677934,46.7301258303309,45.6786785040076,45.1149036462876,44.3048318461719,42.0775750633515,42.3290149914249,41.9710726325674,41.9987076699508,41.6999729073271,41.0577435206122,40.0476729049518,39.5154653306486,39.2429398005124,38.8114011876833,39.0488442323408,39.1336129859209,38.411070347573,38.104941079452,37.6931739150261,37.3389935953223,36.6039902397014,35.4378737008253,33.1447470361135,32.824798246488,32.1439038248751,31.2615649345292,31.0614983141656,31.0242697085604,30.4583259206547,30.4944935595282,29.850793566958,29.311250630699,29.0994289970209,29.4831462939996,29.401004804721,30.0324021703702,30.4819957831685,29.7478574650428,26.7578558574728,28.1652464577478,
Ghana,,,,,,21.3140404239729,20.3368829674497,22.9022405384024,22.9645380991702,21.7811646951774,21.115782303656,20.7838848746179,19.8582969249431,20.2242311691438,19.9292792435049,23.3999040978465,21.4245463537326,17.1744646951675,12.8843535188764,12.9821485966418,12.3063668762394,9.53854082812372,6.46714804432805,,11.1538774539762,17.9913839982547,17.2434811863583,16.352330865496,16.6006347832296,16.8780541565651,16.8550845555013,16.9825217787249,17.4467438108548,27.7994735167346,27.6580306457809,26.7427158950464,26.5583867282571,28.7314113494865,28.226426306169,28.3616537078573,28.3872932519579,28.1375942692503,28.1974474303066,27.7574734795908,27.0579518438974,27.4615701861735,20.799280753723,20.7471601120928,20.4244815010115,18.9992693794459,18.64120486232,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,27.689094240073,28.048869829135,28.1853789305709,30.6385587045248,32.0188305492631,32.8492913275455,33.6913289715893,33.8584197549046,34.1067169423338,31.9299158991759,30.9217350545013,30.9014805745511,31.5015367066978,30.6758689952886,31.8158219703934,30.7981051678324,30.5084549381341,28.7206507650658,29.3038438516353,28.5145223113098,28.5350432534259,29.094114301656,28.0212957784032,27.4641590801816,26.7054883376095,26.3493522944868,24.7657816271378,23.9391133676313,23.8163218590164,22.7361533247402,21.5344019964846,21.4705258492034,20.1127258699101,20.8115224438499,20.7350464655305,21.2074225606115,21.6512604348542,19.7236024840156,19.2589822473043,18.9433691339037,19.3770272673487,19.6116305518132,19.2255647969888,18.5428467725321,18.128819854846,18.128486719759,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,14.1591454831498,13.4783183500793,14.1893051186732,13.1375418060201,14.6325719960278,17.8051511758119,16.8186063058656,16.7148146641169,17.473415654496,17.7261795599074,18.8729777000437,19.4301295842298,17.9977405057791,18.0079108224815,20.0476514635807,19.8269212295649,18.9202617555525,19.6115035317861,20.01903855307,20.0271329514622,21.6395418927064,21.9416240359396,22.7414346502191,20.9232630282196,19.1277545964552,19.2389932512517,19.8876386122928,19.3652981221971,26.4740828915071,22.6117114789191,21.8734253663506,20.1795701954783,15.0051550754285,14.1570015969387,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1067504132621,29.1098236630747,29.3266229104515,29.7873262428777,29.3195777880143,30.0867783297972,29.7255183391296,19.824605778516,19.857893185876,19.4990051757898,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,34.579316612694,32.3408550025632,33.6857716831524,33.8953013168438,33.3318385791775,31.5572817720498,27.7168074931722,29.4016978332241,26.0039651031828,29.20098059421,30.7593029440237,30.105415088564,32.2363963636174,30.1597409460022,32.5021738173891,34.4893181121897,33.6689537901868,31.4590721080672,33.6819367245331,38.914218742561,43.3517606749014,43.3915832048946,46.7017816314632,52.1441658768022,47.3832415547331,
Guinea-Bissau,,,,,,,,,,,21.2455480427046,22.0779220779221,22.4622068021893,24.3938752912072,25.4918574909387,25.3617247568191,15.5265406990511,22.6391255132336,19.9873533906846,19.8627144905554,19.6552830136274,17.2134657343217,14.4106687841191,11.4583333333333,14.3712574850299,15.6406131986794,19.8086415802469,13.2268313317763,14.5008885071898,16.8657738661616,18.6009901641942,9.75880278865608,10.7198902379048,10.1083055978603,11.5591992739795,12.1988979268953,11.5799164110899,15.2962491558003,12.6750227248088,12.8866368293524,12.9959823204306,12.8225218996126,13.1428022222943,,,,,,,,,
Guyana,30.9832317073171,31.1219173324071,34.829619921363,32.698645184914,35.1765489673551,35.0046139649339,36.0128617363344,36.889837289944,39.0918065153011,39.7122630737611,40.2765957446808,38.2423756019262,36.9888826078764,33.2755031228314,33.08806622212,34.3416846478962,35.1439842775619,35.707278791446,34.4281069839741,33.9665837614022,35.7784431137725,30.5185185185185,28.96,22.75,24.3589743589744,24.6332518337408,27.1094184730554,30.113259112091,29.6111111111111,29.4467714094321,24.8787543979558,32.0117777970532,29.0163662534464,35.7425546646745,36.6616513992369,32.6443642337814,33.8021821962582,33.7359601638619,30.78666237226,29.975736962388,29.0352113658143,28.9213859108226,28.58392351462,27.1918938140402,26.968963571311,19.9683215507909,26.8594035301278,29.9614114261421,30.6400476144148,30.895179503154,32.7492635697268,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,18.8859591298616,18.3348779734322,19.5425021180458,19.6590303676079,19.5532068220034,19.14686825054,18.7562189054726,20.6537618699781,21.4757709251101,21.9970462750246,22.1882162050147,22.6686873003821,22.611682854194,23.9879144802257,25.3475935828877,24.9136647289223,23.2365157569602,23.1582537517053,24.2936216456696,24.3823313103242,24.3196178248131,22.9274094670063,24.4312747918942,25.356691642194,25.8423180592992,23.9670700422825,23.5233615184403,22.9724224249742,24.0447806880421,24.7082985084963,26.3624950956615,27.2987482218247,29.5951897836464,30.1154142087715,28.7968978717181,30.6994421626923,30.7531584062196,29.8725263138074,30.671905174136,32.3487447254182,32.460551552193,30.6880207407214,30.1011539032039,30.0704885906775,29.1348900146958,28.7261235094702,29.9698165818073,28.5641514320561,28.0010044712066,26.7753279247711,26.5434868229404,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5607482373165,11.2779667667165,11.1153224278151,10.8367984224914,9.98210572514362,9.06525313685171,8.1898922290221,7.49145016795895,7.5723037961651,7.37814271003468,,
Hungary,58.9764829599864,60.8946762235964,62.2503374712157,61.4973020906918,62.1648734613538,58.3495780046605,56.4837812941224,57.2594415721013,48.1489320239439,47.693890318717,48.1367937822147,47.6243332934875,48.2313241796602,48.3858997267682,49.2292103619201,50.2912737973695,49.785495326255,49.651938856063,49.9381587523648,50.7769152055119,47.0571650757357,47.1544611430488,47.270591368574,47.2273539817052,47.0389888182236,46.9548403582023,45.3789989962085,45.7809731982755,43.2654134183401,43.6896863041999,39.0571571547612,32.5920099414639,31.150214656308,29.6657342391848,28.9963275848376,29.4343572749039,29.4299100245768,31.9001142729686,32.2904781088773,31.839513919711,32.4164523613549,30.9769604408741,29.9540724463549,29.7129223927687,30.5518811456032,30.0103321341015,30.1711260847642,30.1911181193406,29.5446931263386,29.9746315980828,31.0327661597425,
Iceland,,,,,,,,,,,,,,39.9330024451675,35.507130569692,35.5022830565478,37.6771694222865,36.5439658233848,34.3931049616698,35.407922275569,36.092494920388,35.784955877074,37.0483520132262,35.520138989535,37.1587311172038,34.8664752789142,35.5002188194534,35.3226430227446,33.82535613528,32.4671493682381,30.8393555243022,30.5814866982877,30.1180546276004,29.5362649459509,29.0079750448969,28.8533583245591,28.4478300430555,29.4480205686415,28.3093483136028,26.198431665054,26.1429926636406,27.1600573523787,24.5282250414281,23.3758972396537,24.2144222596931,24.3830739190263,26.5468204256818,25.8098659593338,27.1882206917611,25.1462511335086,,
India,19.5576679500593,20.2072977892487,20.8808035877688,20.872373070032,19.9373540319849,20.7778247015011,20.3764293183121,19.052812858783,19.6292969706867,20.405890360104,20.7882552755869,21.556493407098,21.6245229007634,20.506415351425,21.8807706088251,22.5713952070169,23.8252157643793,23.5616380404434,24.6607425776676,25.4673676806118,24.6875943253848,25.5578184818056,25.6177273173067,25.6557336621455,25.9984892004181,26.1049338317081,26.2844533119948,26.3090466402769,26.1838505432658,26.9368562472011,26.8835722828873,25.7587079748489,26.1311163184484,25.8665656756927,26.801939823116,27.8311697063295,27.0188227268761,26.7764388337825,26.0660040765258,25.3139474678496,26.1887173924788,25.3384855791462,26.4645808044963,26.2359101242234,27.9250564704805,28.1409632522338,28.8493793774216,29.0363123065284,28.216958224459,26.9657260529933,26.2864872450584,
Indonesia,15.0485446601942,16.3306451612903,11.8523770343846,12.6993507307983,17.5478223166844,12.5899281845315,11.9391029047624,12.7326094014552,15.9107260461199,17.9311887223599,18.6866426256509,20.79141197692,25.2350963932102,26.5359150061548,34.1812464594494,33.4731723658138,34.0682775247666,34.2544968290787,35.7366937661835,37.6876200743746,41.715886753308,41.2115104364736,37.90299426381,39.8269575337453,39.1182737092235,35.8488092013631,33.7428147736612,36.2540656956655,37.2660281925847,38.3452022498276,39.1181521569886,40.4018731240717,39.6441293121312,39.6804606932178,40.642042322098,41.8008443540902,43.4556165483948,44.3289551134669,45.228217728338,43.3600746185548,45.9253938367783,46.4548429772548,44.4629239973315,43.7495669608102,44.6276145370048,46.5410578693822,46.9435587410795,46.7991415207073,48.0607447690175,47.6805090435368,47.0460807986552,
Iran,,,,,,29.9847639823082,31.2356618649365,32.7613525656289,33.8215985642431,36.1620818522659,38.3076493083684,40.8244413245798,41.0664764039129,51.6136716522641,60.5452977125543,54.7394106187694,54.8888022524932,51.1210268532325,42.5281305337505,41.6030626354057,30.7517646435993,29.7619419361757,36.0880026211452,34.1137233782188,30.2765435207526,26.6713721580844,20.4006195127565,20.5244554258167,20.4194431368999,22.0155945556026,28.7032780387075,28.7278189889712,29.1604189955559,38.2091038930018,38.5637328576295,34.2404180675223,36.8900467160552,34.003445737059,27.5728854189328,33.2691690170666,36.7411500512722,35.3907489289259,41.3881264123319,40.9503660278062,42.735765468267,44.7073739339596,43.641387105383,44.4749355457142,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6729573463057,69.6173103601845,78.9334273644214,84.3761311459556,78.6496008334556,73.3668670094714,70.1484430988479,,,,,,,,
Ireland,,,,,,,,,,,34.5302732470735,34.5297964725941,34.4066281541066,34.4404937472641,35.6011223756626,34.0159900620847,33.120631272331,33.3767295081836,34.1738703285518,35.0130501678126,35.696319505808,34.5176799632384,34.9976669421556,35.0586691430036,34.9158305876839,36.1744431305805,35.36822280981,34.5306425291396,34.2289576633283,34.1643117659895,34.62212308495,34.5100984546282,35.3375130198314,34.3235551607931,35.860616105295,37.7896442850639,36.5726944118104,38.2890807225534,41.3097390359679,42.4293155581474,41.5134833703669,40.5086405695548,40.8899150921559,37.5202773817706,35.4820798659729,34.5054950516283,34.4008713454902,33.5428812536838,31.4167553063843,31.8697908456897,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,39.2924618862407,38.3032241643606,37.4159130305604,38.6392460772956,40.2383781162647,38.5922211601083,39.6737383581399,39.0202009544807,37.9747051820238,37.8328650407806,38.0715439781497,37.1066963713354,36.2005456087789,35.0307674786,34.8245240118934,34.277774383703,33.2903289264094,33.0656691365809,32.7103638504092,33.0125611050699,32.0875539809771,31.1202267581293,30.487377521306,29.9887088316552,29.9629309304658,30.1233839768178,29.5794334368287,29.3313237801096,29.2011116619266,28.5124474739815,28.2443224091709,27.9433202071424,27.6379645524706,26.9489555329731,26.8768032803889,26.7189949781831,27.0160180207336,27.3472343062823,26.8341017483274,25.0760799636231,25.1715022574076,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1092140580117,36.6435704509395,36.7635299340918,34.1448801073448,33.0792524678384,25.873657962229,25.9697043992536,25.5318242523822,25.3751529230679,24.1981546836679,24.670337945295,25.6808864535877,25.3346745628266,24.6630126271788,25.3383807270754,23.3600985844712,22.0730357009613,22.4368547449612,
Japan,,,,,,,,,,,45.312081277452,44.820919244485,44.2331630791263,45.0065452510419,43.2953999085618,41.0855481794844,41.1633846525668,40.1243473641078,40.3777405085878,40.2865843044142,40.6827913493443,40.5960559828269,39.9956154564691,39.1591327334368,39.5658896636228,39.3670457557768,38.7958063523247,38.7614194849295,38.9579472705288,38.9145672819629,39.138188739872,38.9320542399081,37.8449319965088,36.4250898087558,35.0430427251969,34.341349681433,34.2696342709439,34.0402181575191,33.2952120863582,32.7970054939526,32.4049999880551,31.0144359343025,30.4206360587213,30.3564977733328,30.4844414740903,30.452150263471,30.0107917955434,29.4380714827665,28.3436456838122,26.6752392194075,,
Jordan,,,,,,19.3071828833418,20.2147525676937,16.4043872198379,23.5422343324251,20.4535542956825,18.9777567439659,17.6156583629893,19.9233716475096,24.2275280898876,18.0431654676259,23.6787022501308,23.5146966854284,24.4655172413793,23.9782416936195,27.6660988074957,28.0292942743009,29.8143762890535,30.2703056482754,28.3946779408107,29.9229112345539,25.7952314165498,24.3793936731107,23.9084132055378,22.7524915236823,26.7064846416382,28.1178748117875,26.1933269476373,27.4682889749396,27.443623493608,29.1345250732304,28.9232904131561,26.1347687880647,25.8311884013859,26.4443482640505,25.920751482711,25.5451165175449,25.7611537214366,27.0897539721264,27.0461420331298,28.6007158623375,28.8645295392696,27.7440366723677,30.3145547604298,32.6395699603345,31.648376708497,30.571089155716,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5920303605313,39.3955735387678,40.0060835358331,31.3689325553762,26.9269015176224,26.840508622621,31.1795598482713,34.9334444182684,40.4633582331583,38.8247452020954,38.5881523149865,37.6292262445508,37.6159451538217,40.0995748323722,42.1010260165144,40.639209254423,43.2843309346235,40.2843996544349,42.4103193388742,
Kenya,18.2489059190192,18.5173951232767,16.6701571712897,15.1040771610242,16.7191824872677,18.1385178143758,17.7665217697618,18.9472929384802,19.2729714074315,19.7300191044024,19.8327359617682,20.3750482405361,20.4108594657375,20.7409753008233,20.7019599488709,20.2468785471056,18.6033917533839,17.9868379350277,20.0737908911648,19.8504795396419,20.8492881820117,20.2752500564037,19.9376926608513,19.3716659517565,18.9125948093494,19.0743030486606,18.5784444062124,18.4949975479044,19.6066453476836,19.0315372938307,19.0373572591961,19.6745776650348,18.3768090903556,16.8941179370668,17.246388275482,16.0175677762247,18.3278295294248,17.7732159491445,17.4952733892809,16.8039761787044,16.9200086620609,17.223139292933,17.4120945073146,17.5754750457477,18.2288756420747,19.0920851538769,18.4951187030854,18.5388474838058,19.7652749863357,19.2000684614397,19.817967318142,
Kiribati,,,,,,,,,,,,,,,,,,,56.989247311828,47.5745598275243,9.0187374621196,9.36081171779383,8.32764505119454,8.39856078777932,5.68794810515534,7.37989473291276,8.79734419797797,8.43034367724224,5.80289415334345,6.89138576779026,7.5877207351833,11.8241378859005,9.12039863198023,9.85950259763512,8.93275969292858,9.00027025588797,8.63439820703186,8.15515842300298,10.8673960442137,11.8126269096323,11.8249029520999,11.5738603661677,10.3761865055239,9.82153843679078,8.9009455587725,6.93568029042758,7.55296079180425,8.0031263281646,8.63684688845257,9.53865203469539,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,21.3131607464133,22.073497004991,22.9693833918088,24.477715351689,25.4662108956462,26.0242972844212,25.0359252754271,26.1983365323097,29.2147966158784,28.4048278090795,29.2707748083916,31.0631138666688,32.3623631533837,34.6143241349696,36.0340174878635,36.5539177027278,36.3696511646737,37.0111180203483,38.4977663465183,39.754486635506,39.0762985392473,40.3965691542651,41.4814750302161,41.8165719192494,40.9930740711074,41.5656957438677,42.623308417404,41.2718664606373,41.6470426424537,41.5641873851563,41.8535895676734,41.2697051242273,41.1341900201256,40.6836794689383,40.2439849880125,38.0600269948233,36.6337477969215,36.2379949749995,36.6593189004794,38.1374489102654,37.703150627834,37.1642480258043,37.1231160589857,36.475000217465,36.7772486640051,39.274168935484,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,
