Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8149918504193,38.4237510616941,35.3626883390927,30.6118137871664,42.0216199544856,46.8023453098478,48.4526052836243,43.7146578424327,38.833740238331,32.0770777109079,34.7113831026256,40.1763108909544
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,21.7539725319117,18.0202659679225,17.9222139996266,19.4901493951161,18.1635388739946,18.9612530915087,17.9034769071095,18.4838417396557,18.377617836463,17.6369811697717,16.9533203036226,18.5739987149282,20.8367139959432,27.556648777579,22.4728790750048,17.9150533572575,16.8959627017142,16.3708887841317,17.0101381300066,17.3883115130247,20.1704829422162,19.2490233880925,21.2726706050975,23.8243124521006,25.3494647775524,22.0060416751494,23.6082623173442,25.9300800801625,23.5979965028781,26.4515754861312,24.111122939226,25.0751520615533,26.0655176025015,24.8918168841988,27.4192607791212,26.2812840742056,28.4609679580753,24.4117226218505,26.3226796793379,27.9822868923512,29.4114474134737,30.1515852240327,28.664775764589,29.3704147401562,32.3137740937199,34.2012734175812,35.7485712060287,37.4780610385821,28.7038414961315,33.000437000034,34.5923035053992
Mozambique,,,,,,,,,,,,,,,,,,,,10.8618560002249,9.94956204536163,8.31364206553377,6.11705342881899,4.14565668375764,2.85961075296948,2.52470754065575,6.6411832800433,8.07091813660867,8.22346813355095,8.17406903542467,10.1555823177973,13.0545730285466,12.9343540482603,14.0726213492049,15.6010896537936,14.7864778888841,13.3539300386509,12.2491726240604,13.1664757225039,16.480205459723,23.3852949475733,27.3386942292946,28.8854919008815,30.877756538836,31.7279302385726,38.3578683623433,35.3503907121372,32.2669697069262,24.7888127627936,26.2844196084437,28.9017185111038
Myanmar,16.4930249381337,20.5418678327481,17.9398055235988,17.2154249955173,14.4937051995743,13.7779590278568,9.54007578373403,5.52403280745866,5.56732292182195,5.21442601704611,5.59547752473587,6.16412937040634,5.79463141279451,6.0158147110943,5.40103075192751,5.30499160325237,6.32723346646924,5.48427664125944,8.22177521303941,9.09891497211179,8.86194029850746,7.01971773642082,6.76996575006302,5.84547634141001,4.58304347829268,4.09805521536717,2.40909492282154,3.11635127529707,2.93424010603746,1.9432491736946,1.56630749926125,1.43948528176421,1.17334363526714,1.14329444019882,0.832273630006168,0.692946791585646,0.575877460565301,0.417946347814851,0.32155118886738,0.494646326114012,0.460761702501809,0.354739474032733,0.182968803942039,0.183909357590526,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,78.9224393132031,65.303738317757,61.7466802860061,53.8855281526291,54.6705587989992,61.4900662251656,67.2206303724928,55.4709317085555,54.4533994626989,58.506151142355,51.9158033218221,53.1240918337692,52.1932534288892,51.902816598581,48.488784965792,49.488430662679,50.5829058690294,47.525520864426,45.9683857576241,46.1612840843164,40.8774193548387,41.1724250859669,46.0033869602032,43.3867681749946,39.811148339933,40.4508738116378,39.8515584511735,50.7337188511783,54.1551284511831,48.1560274316521,42.5533326428423,42.6264130498822
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,7.76508407603191,5.64481095906735,6.87451279189886,6.84511343729795,7.01314971181485,4.90419708029197,5.40389325631069,5.66110497288311,6.61049222976221,5.44971914352406,8.90109275897712,10.7738301356244,11.7881940740741,10.5716598358486,11.7848294596341,11.5412623647643,12.9014541647592,11.5915841261887,10.2310430331754,10.6524501026808,11.5292143734169,11.6622999066829,11.8132750845547,11.4471692715783,11.0676046555915,10.5273091204456,11.4907512863386,15.9597261292976,18.4329641055999,18.99393793408,24.9731589825482,22.817575116607,26.3278350735973,22.8220512223903,22.8484720906571,23.2840037102622,20.7966135092714,17.7371295242282,15.699945757175,16.6826580021574,14.5836867929394,13.4471871631591,13.0496670225205,12.1173334902618,15.2553143264203,9.57527107371412,8.90049144534587
Netherlands,46.6073737254984,45.9426042281739,46.0326918446597,44.6109586193346,42.8107866340402,41.6514807868452,40.4676310118428,40.9376263598006,42.4568087379793,44.7591824083481,45.033002048403,44.9886860967711,46.8388266742031,53.3541793934625,49.0755972632445,50.0835818938674,47.1994256782287,45.2093772996461,49.6547854785478,52.3100600278372,56.950503331339,56.9615129470761,56.6378027183538,60.5868260387954,62.1495117688359,52.6890037271404,51.303876882965,53.6758319278299,57.0942821037272,56.4538768407401,57.1741622146673,55.3762779585462,54.5836609145222,56.7868077007944,59.3652644785937,59.6312801989023,63.3160645985092,62.5623510196875,63.0402415372624,70.082304526749,67.2761099856834,64.1532713976794,63.0047489752487,66.3928385289423,69.6237098442366,72.8366060983014,74.1953537505269,76.2752720440182,68.5669925946601,78.2167000713388,82.997077942034
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4876237916876,16.9089199830572,13.7104833573384,13.1111497125527,13.5961768708006,15.5638092682129,15.3462781856552,16.4920122016379,11.9903062307195,13.0823856562793,,,,,,,,,,,,
New Zealand,,,,,,,,,,,22.6074317731034,24.6047029431515,24.1445203275631,20.7330313114372,23.2742680730944,26.8926045100502,26.4010379741839,26.9026175667178,28.9387516464325,29.1247176210513,28.2614652032965,28.052764664301,28.600427499899,31.8041141089072,29.1251907559411,26.3474336451229,25.7784176351873,25.9462873962565,26.0745928931914,26.5286791993175,28.9110718795151,30.9272120265956,30.2729694418356,30.3237357137889,28.6902390961998,27.7304532778851,27.7024981990599,28.9812198970856,30.1552342208784,35.0261214274532,34.5886510184453,32.0476296019476,28.680681901283,28.6138866291861,27.359330115865,28.6206116380945,28.3147782619129,30.8233704160594,27.914756976825,28.4633633191365,30.0345663714118
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,23.4018956222754,26.4315577064937,28.824290920843,28.8739663438153,29.3005186662044,27.1151704252503,26.4618925854399,26.6848685591088,24.3859582216509,26.7324008893603,26.2996898106651,35.2892515406977,28.2103193664326,29.0748893375751,28.0427575134353,32.9947207326168,32.0913335246277,34.4096982231934,42.024580211994,24.2288003563646,22.3441657132189,15.9788215060636,19.4003055978005,16.4430387119149,14.7661996362779,12.7763132748645,11.7706828689029,17.9808785308271,32.5367935414546,24.9483535052215,21.82198401817,17.2512271307452,20.42792688032,13.1398769683153,16.0950864059021,16.8473580215965,19.4195452177055,19.3344405688674,18.5302796095633,20.1081658286106,19.0419108200505,18.8471358197834,20.7049989336159,23.0598557348678,24.3821309341266,27.0388587789508,29.0760976035317,31.9096984650967,31.1788128251398,36.9713471011125,41.0930631141097
Niger,8.12123515177793,9.283574931717,9.31114997675589,9.26666051335803,9.48485102940115,12.4527143575434,8.42953561437525,7.97759856362622,9.35765598866762,10.7723830645183,12.3678397638261,14.2137063071588,15.5147694760924,12.27056306619,19.2465293858683,22.2636539770813,19.6425919442474,22.5306478799285,28.5411485454289,24.584906712593,24.1566364779651,20.9653102032436,20.8266630511066,22.9130761715111,20.6891231602934,20.0030318101034,20.8016700499103,18.3009416457525,16.5971522897164,15.0133260092923,14.0521592899442,16.7551418180436,15.6421751238988,16.5319732845089,17.1549853817999,16.946469179584,16.391637975934,17.7685640186735,15.8940919609387,17.7991252733521,16.9214586255259,15.2035959809625,16.031496062982,16.077628968254,15.0381381882969,,,,,,
Nigeria,9.18512730838918,8.26914136888706,8.77916609570923,9.2021286620425,10.8934486785348,10.4138264655438,11.0773287413227,9.92732166890982,11.3910694690639,8.40707470847514,10.8342810879581,10.9681278149836,15.9179209246139,25.1785349928586,18.3387519938637,18.2158160733134,24.872413279738,19.552603112085,24.8161353467562,29.3751744682711,22.5299995349845,16.343233553404,13.6122776424472,14.850804376808,16.0984037039596,17.0950704661794,28.6100013776002,23.1219404721742,32.6942667282334,43.4309787175267,37.2167649603661,42.2387864732928,47.1212058555951,41.7557039645241,44.2877389663034,48.1449978257267,44.951526558765,33.5250026867884,36.8976223471342,53.976959438241,42.9942333364487,31.8674224368252,42.702727384628,43.95148653942,46.537439318001,42.8676180274305,41.0199758254789,42.7545959161787,34.9874360330805,35.2043513268086,39.6155063014973
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,34.9508939461891,33.772294932472,34.46614315828,36.0215060937831,35.7188738816628,35.8111498197644,36.7937849702254,37.8611579291601,37.1458137380289,36.718466462107,35.0293216373124,35.2331925921355,37.7296827331372,40.2575159184331,36.447752601061,36.341110349837,34.6513595718892,36.3799922064786,39.6896737026835,43.2408213588901,43.2780806314383,41.4831255761754,41.8422684480523,42.9237791182699,42.7381107539027,34.2355471788009,32.3744876514569,33.0598461519587,38.0111243658105,40.1460567793353,39.9416289493598,37.8715286574674,37.9162302665639,38.1205429633583,37.959079408588,40.7807827576092,41.3604664149932,37.6466203654986,39.3909028027468,46.536352601398,45.7644576341657,41.1298127594536,40.3311516573598,41.7990634477628,44.0911692081349,45.3716317995085,44.1193698527387,46.7628990661405,39.4261391097934,41.1445902982927,42.0944466437959
Oman,,,,,,,33.7628865979382,70.1397712833545,74.6,73.689138576779,65.7873701039169,59.375,67.827626918536,73.720354545385,67.5503991251741,62.3317855992117,58.3016397733313,58.3201208676898,61.0624158557601,62.6591140821314,64.6871124277259,58.5460232440617,53.6515950036692,50.2806136102201,49.8278320505431,39.2465225836701,48.8779393781009,40.0062025120174,,47.2300741169401,43.065492560295,44.7168904761098,43.0510450226594,43.0012279966974,44.0353488307783,49.8101900994397,50.0369487888564,41.9695908502421,48.687603480762,59.1815896177851,57.2713642357102,49.3319496692178,49.9698176989014,51.5652998840519,58.613144828747,56.7875061833086,56.7252187946124,58.7899347303332,52.6415094339623,,
Pakistan,,,,,,,9.17074747672598,9.15916592791593,8.66431790141323,7.76879224222752,7.14233139281683,11.7743168648241,13.5268282395842,13.680564588033,10.853616254289,10.7216050404023,9.28463788193559,9.24068847739098,10.6926230809099,12.4872847044871,12.3171710384661,9.94559490638812,11.918511378698,11.0703895923455,10.4233487920957,11.9007483057705,13.234830062633,13.5864232014033,13.8831101377163,15.5383068872355,16.9969431232075,17.3593018277404,16.3064751946864,16.2825154506042,16.709969655752,16.9031017751853,16.081953225121,16.4847911755655,15.3534993273502,13.4413246244032,14.6595396108149,15.2236171954973,16.718967406999,15.6668995032426,15.6894954323083,15.2298147563918,14.1934625441903,12.8480493615027,12.8591444757728,13.5741050349069,14.1553721534413
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3923439270169,32.6254381390159,23.3180075618849,15.0849425934129,14.5615674580258,12.852693548238,10.4334307897503,9.45618820320491,11.9610521214257,9.6009610972527,61.0512129380054,65.8691557490268,69.5212176520436,78.288409703504,77.2010891987788,68.9376428671766,70.1751679822961,83.8532625187274,85.1103136553622,91.2693217137475,103.252037899324
Panama,,,,,,,,,,,,,,,,,,,,98.1864945017453,94.0454935423285,85.7724515709279,71.1686665712709,67.1973836241506,68.6097741577194,71.1259953328464,71.5109164109749,75.203610626731,78.9033248081841,86.7819769630355,96.8009174468959,100.010539946397,97.0383443407283,99.7853605554765,100.696930218439,83.4318447560099,90.1051170170567,79.1776812257032,66.5398077913462,72.5751903962824,72.7207283506246,67.4595026237737,63.5975628614728,67.6091203373932,75.4893402393839,76.7147108595437,81.1972124921537,85.1918996939343,81.4980004235863,76.9539643949494,80.7986451615312
Papua New Guinea,16.1024702653248,16.2092624356775,17.4107142857143,18.3052090975789,18.0279856817442,16.7860211973646,17.3681499306734,18.8596449433843,18.9150825511903,18.4767481522835,21.3699559706937,31.2090489307016,44.8781110352033,46.8844841041734,39.9787879192114,41.7737302465533,44.9749722288788,41.9364354710449,45.4796071844329,43.1824842701478,38.2405405662622,36.8339830779785,36.1960347063118,39.4428158056806,42.1145962447914,43.5796727463556,43.1664509490871,43.2510029917139,40.647470203894,40.62479578701,42.2648111826048,47.8498705185887,52.6432591070658,53.5346081165548,61.0389864967393,59.4045078085789,49.1575225424,54.0414902882047,63.1183639103432,66.1783595707104,65.3299677719882,60.9158106874319,69.4179664156181,72.1640494565713,73.6302601474118,82.0826501573454,80.9480822449287,74.5698918431991,57.7709150294965,55.8521163746237,50.9885231564876
Paraguay,19.2172915058112,12.6295004711771,11.5597514486059,12.2566329816871,14.9578032525488,13.2463391104064,12.218456657813,12.3553644298592,13.5776755746719,14.9170858570865,13.3753698022243,13.7669124489337,14.9636866422407,15.5084578213272,13.2089543539221,14.660225773751,19.4539702665076,18.420236211777,16.058246363955,15.3097359859878,11.5164660505059,12.1405320968614,13.25021438788,15.8804788381851,22.0992319646826,26.4871843493545,26.3545867683929,34.4238821846302,35.6993768362851,33.2474051649574,30.1704887149947,28.0712911832227,36.9305769824128,53.9981021923397,59.4277411873714,50.342996260667,44.0359223505587,50.2372902347405,36.7562264509991,38.2291415995389,34.7719455170628,43.4277232437426,45.7017184784047,46.8924219765828,50.2369736862129,52.7191080236582,51.2782051012256,50.9194092141552,48.3621648381344,51.5994589909585,48.5320377910701
Peru,21.3753508609913,20.510688701901,18.9500417865423,19.0174762103641,16.0979230502002,15.987460815047,15.8442985666609,18.6024986707696,17.9412991405246,17.8928565979004,14.2170999876288,14.1247833049284,13.6890388923018,14.4991381896324,10.8506153139715,12.0488811034287,15.8967061176808,20.7331826688796,27.7413250369873,22.4020635408661,16.0944613050076,16.5262041453827,19.7079750633631,19.34760030217,22.9674494649227,13.9427061604784,10.9684337342678,18.8376311947322,12.3884043751552,15.7635541990102,12.6480142182986,12.7647577189724,12.1914298781482,12.2478322728676,12.5947966089528,13.2987222233153,14.3592895003801,13.135964308916,15.0330033441335,16.0013057624218,15.6546025115383,16.0738878228505,17.7226300651964,21.4546725413948,25.089325679263,28.5301130947268,29.0093688562918,27.2507166124474,23.9777895747422,25.4982965843131,28.6796202532024
Philippines,12.5924282241386,16.9476848166256,18.6172368900414,18.1849168338157,19.3836494672149,20.4477851917357,19.964816409028,16.902966314731,14.7268767769645,21.5764693970536,20.454163868368,19.6804634214706,24.7669656356884,25.0211128333957,21.0180639184808,19.3269449968949,21.0586383043087,20.6673881458185,21.5608674223756,23.5726095286545,23.8337902527025,20.3343874240566,21.3397204377406,24.0241305214107,24.0155766126988,26.3282021130358,26.6421486780205,28.3927816192056,28.1120197440364,27.5162290192409,29.5972551523985,29.1297679198614,31.3596123861191,33.8256941212051,36.3572830571195,40.5066572372304,48.9564820007722,44.7642293018712,45.4893062322021,51.3692937508122,46.0268520415034,46.747005172683,47.1570551854628,48.5726485819194,46.1369847857495,46.578056866736,43.2607982596825,36.9120405265178,32.2323534846454,34.8032929530862,31.0201352793756
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1955932524088,21.5085395948735,21.6708392792583,20.9739346890389,21.6179724598765,23.199554003001,22.308468028293,23.4080329405281,25.9812748168587,24.1915131412914,27.12439110237,27.0560210579247,28.6348379500803,33.3138826029821,37.4923475292524,37.085046099774,40.3550462203464,40.7572805138276,39.8991870989594,39.4439533064784,42.2458583325902,
Portugal,13.4718076006172,15.2621014208003,15.9371365738793,21.391730677092,22.4347413747715,22.682341906299,22.7972083455592,20.9603014646203,20.4586328977221,19.3948684531654,19.9429252102255,21.655583257756,21.2522850769687,21.3643383754693,16.2209517986797,13.8627260268098,14.6496869554676,15.9962582390328,21.5123886693437,21.7748142154719,20.6334576599022,20.9917052889367,24.9170634803483,29.6141477743533,29.6778474983443,26.3820496362006,27.7457430319105,28.0482885452098,29.9040417444123,29.603620964526,26.942955854938,24.8229556330528,23.9516457944029,25.507902550246,27.1684374818564,27.2094532620298,27.755648029233,27.9271402880142,27.0835334826658,28.9347290108383,28.0751031262479,27.600827506922,27.6227297787647,28.0449393051486,27.6588186715776,30.9051483506304,32.1866037637787,32.4461531394654,28.0325168126972,31.0193971495868,35.5091305899631
Puerto Rico,45.3541268318032,45.4976366045858,46.1108734221262,45.3120144724073,43.6849451740711,46.3625474689895,47.9718310590438,47.1795116781821,46.6204839017918,44.3054058784305,41.3108521929716,40.1516811138738,45.1194604532037,52.9590872371435,48.0971896955504,46.8099845428353,60.7876200856466,60.3206454547789,64.537254003077,65.1290836824078,68.3630285658763,70.4161230065635,66.051768407177,67.3958648836806,67.5447993688399,66.6030917907541,66.3380486449304,67.0885142111565,71.7067372411888,,,77.4983482720384,71.8033638025594,71.474810156561,72.0266175625387,67.6979519549721,66.4412331126652,70.0464442077861,71.8988260922183,74.7927094509398,80.5266046803782,78.3312599914832,84.1435904494878,84.2136288188466,82.7844158510298,84.2931282825059,82.4688353594507,82.7304032041224,77.8407176031442,77.9125975867568,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8757581292467,44.3386682136942,43.725742260285,48.2808095603513,51.0956309106989,60.0407882778036,67.2833585991399,65.8928571428571,60.3427728278758,61.6975823867948,64.2873250186473,67.338797186371,63.2165952190656,57.338776243218,50.7194175870371,47.0963164829225,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.726891246066,17.6006170878896,27.7914151131162,23.0162996553561,24.9013534982052,27.6164980891073,28.1410317881143,29.1768293769142,22.6216456576709,28.0180021887657,32.691331496107,33.394103320539,35.4024358842037,34.6948761474664,35.9270336909482,32.9227623986602,29.554871472299,30.7241348817659,30.9839649654039,33.32339665957,23.4865684435363,22.3323603823004
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.902268780868,18.1620620279416,13.2713621737576,62.3224618621778,38.2045944842866,27.7583790421613,29.2894644732237,26.0733140751071,24.7299893276414,31.221478551871,43.2202687012772,44.060720543145,36.8934209937833,35.2493315668818,35.249981774868,34.4178910548452,35.2030659645855,33.7304754438512,30.1640604846984,31.3095603335459,27.9381012043276,29.9501371577169,31.0513998494834
Rwanda,11.4754083912928,9.27999942983684,5.9375,12.0000004726154,12.096775858481,11.2793690482814,10.5120317098545,8.73983611720172,7.6788534762107,11.5052287329083,10.2114267530899,8.2819386061907,11.5983616670788,12.1687576188559,9.17188168622312,14.5789534312525,14.2677660507399,14.78099794821,21.0460631123876,14.4365215959221,9.82550552235256,11.552558775495,11.5817675244005,12.6314336347156,10.7825066692222,12.5843178876461,7.45005253113783,6.61955983286942,6.1392889572188,5.61460917786796,7.31660443964316,5.56840819729938,5.17524596425154,6.30258591989884,5.15079191929654,6.03137002535432,7.7973393710657,5.5850635729766,6.22205111293645,6.31981544520832,8.47855233608481,7.03536493604214,8.45340050377834,11.1240053050398,11.4244044725328,11.057721665976,11.1645023158506,14.4565470330647,10.13562793527,10.0462299536087,13.4235158300425
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,63.816604708798,63.3513513513514,59.702878365831,66.8981481481482,60.3798297314997,49.814585908529,48.9137181874612,55.0502379693284,55.3656220322887,61.4398111723053,63.8993495378295,59.327485380117,55.2895553257497,51.74936875262,58.9398910511755,61.6579256419269,58.3207763403605,54.6467289983375,51.154090529695,49.683257918552,53.1805929919137,53.7677419354839,46.9916111538452,36.041992456793,33.5738998077407,32.0995775256178,35.8221941349964,38.9808850078658,42.2547887937167,37.4433449766496,33.4605972057996,31.0860757161854,24.6145001602128,29.6062938441394,32.7029825420608
St. Lucia,,,,,,,,,,,,,,,,,,,63.1220909416398,66.9563044805952,51.7661655232813,57.7832828407556,63.6062901524595,52.642158830383,61.3999001813051,74.0551181102362,74.5522889798912,87.3793500471258,80.1897598325962,72.559263648474,69.9236913558109,67.7411106947778,67.6585282428038,65.6920195994988,67.5450262134615,62.346324875752,59.3421217462654,58.4285759489384,55.1618648282944,49.2995303559328,46.2822229738928,44.1465014832319,49.9296119888036,54.0905073456922,57.7745958710731,43.2394964187543,40.3676598684928,45.626787067254,46.3359879322391,52.0290966369476,44.4331169633138
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,43.2742017232641,58.7823875377523,51.8480771844001,54.9468771110975,57.4272133095662,58.9181223180616,61.3342785129174,69.0463449802881,72.9969158081239,72.9893241334448,64.2639699919944,75.967140282493,65.3394610403175,65.8214335899544,52.8436735842622,59.2970266494376,50.0023279406184,46.2704962920752,51.1521867451425,52.8877801505183,50.6173463584779,49.5245900367907,53.3904736395697,45.1418198221935,40.8206775305294,38.5424781499217,35.8315731023212,35.3112541735929,36.3679779183595,34.6940316468391,30.9949884083307,30.0675594307268,28.6026442577115,27.2064768484356,27.0717564183019
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5083981449591,34.6211589219556,35.3560627880184,32.7026201439056,36.3100930981465,35.78571345996,33.8170039039307,34.5808469405376,32.8791042790244,31.2924334060233,31.6491430451161,31.8718736646147,32.464933559204,32.8603007842105,32.4216158930813,31.4965801101265,32.037718875849,31.3516321588295
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2065136013072,14.4896671050822,16.4508217657932,17.7095995469206,14.0625953140529,13.8699911800154,13.7318226078409,9.27700995467179,9.54371586364951,9.98145250324276,12.0943213639853,11.4582234429077
Saudi Arabia,,,,,,,,47.7336860957697,48.190184189127,54.4769154586658,57.0642637659119,64.4763342217867,103.19474983564,63.5262580688775,73.7190108456535,59.8860850687837,57.5442878567384,49.4262958305306,54.9249044696884,63.5460040537065,62.939045383766,50.8417648488116,38.561803424238,34.6179364754958,30.071110472946,26.7029982179183,30.8617733422898,31.3237689977801,33.7456761225976,40.6291296325781,38.5672153305207,39.3316601159637,34.5650799758968,34.2155429708924,37.5699163147793,40.2560838304527,39.3887703114281,29.8362019599969,34.8301586627719,43.6524377407206,39.8773983613135,41.1778502632221,46.1180541056462,52.6677965126746,60.8788086358678,63.2325557191964,64.7677204326716,67.7829266749639,53.6393883618859,58.0885789159228,61.6123231118446
Senegal,21.1733902609146,20.3012799610804,17.6174230199543,17.4659668015718,17.5332907788162,18.5662126595522,17.0850293495194,19.7439153930215,21.4424560686276,23.4773363550764,22.3600980828673,26.4568777023005,24.5919956156969,36.8999256563133,31.4355501029845,31.3289435642815,37.3680597591443,26.0988392524137,27.4875093226049,23.8984979300708,31.7180111781902,29.1801338609601,35.182230349932,33.9812492504253,27.8319891513433,24.5593754065152,21.2480248638044,22.2916072929484,24.4629559580961,25.4105358069405,23.0926355791525,22.3488301728578,20.2643044768458,31.7537391734673,30.866341703626,26.9840157954369,27.3148894782184,27.696563964251,28.056468217879,27.9251163333445,28.7262925449628,28.5488709897299,26.6267551667267,26.4412613641833,26.8997415050631,25.5966606350296,25.366903230573,26.12822058887,24.4103440839701,24.7857754738978,24.5058604660834
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7418718958079,23.5638781755954,17.5040764528042,23.8551788039994,21.2984423728218,19.6174114162144,22.2962820659866,23.4957242453633,26.1789893410173,29.8749543383006,30.5102035495662,31.0764040769473,29.3924652242331,34.8922660030193,36.0800690515091
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,74.370897155361,78.3569979716024,82.0978315683308,72.2525427933515,67.9583819938422,57.0179049187076,52.4581697996282,55.6249370530768,65.9582436101488,68.9185824549755,63.0267154762832,61.3367719750698,64.0248691099476,65.117748420448,62.4828427634589,58.4818948537953,56.0192688636773,54.3044469783352,52.3542327396926,54.731013965788,66.3386929045676,65.617048346056,60.8690219598288,67.6651744133642,78.1545866435824,81.573549312504,83.9710260018339,95.1436317210151,97.8136269349331,78.2090194555712,84.3264709560684,97.4080613451046,113.326081844387,108.379294212911,,
Sierra Leone,,,,29.0769932779614,28.8663809894819,27.7777777777778,27.0783847980998,23.6827742892653,27.629743827775,31.0213715738826,31.2678330295281,27.7726487892506,24.6387970545542,24.0968638945899,25.1085017076873,21.5400151911039,19.7195088736283,19.8226303641946,19.9048967519435,22.8645601629892,23.0150125859152,15.7556868157171,11.0708386302792,10.624656655061,14.8224506653126,11.9168356997972,31.9642231561802,28.724676558677,23.9176415168584,22.4472985668693,22.7419719803618,22.4593576353984,21.4882282445268,29.5116423906333,18.6182180384965,17.819958896147,13.9409126640799,16.2027274361927,12.4989082716329,18.0814211374706,16.0252719119663,17.5681274694579,23.2247867119403,22.536598649768,23.5740969181996,24.9439278005888,20.7712733637259,16.3425243728078,15.9588084403968,17.1000845020898,16.2635051704896
Singapore,,,,,123.294882972302,123.336711577441,114.350580781415,125.720376865415,132.193277807313,126.09768550034,119.529027880048,106.799556498265,118.415201131999,149.608025148794,137.18545724842,149.624391220228,162.997189101799,165.768350190428,185.052824161188,202.60927552864,198.785851903014,186.132486967623,167.574920376073,157.402938659402,153.124284564314,149.114557155991,164.587257837441,185.221954066562,179.472799111808,177.448551369075,169.590822326702,162.099128117302,161.99992017349,167.223244313092,183.010669385202,178.488774108173,171.572111194387,169.034728464887,180.157978256442,192.337565604509,187.828512989695,188.755849525106,207.422625527893,219.26726731141,229.675369808065,233.404568431034,217.699371969701,241.402014528153,224.792014180157,207.170535884772,208.950244834967
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3375053775503,32.1525884168375,28.8439956929632,26.5467615257016,46.3246799303438,70.3280168522419,56.1841858862749,59.2585205645654,57.7610893150692,53.3167916352242,56.3323041032406,59.1648219369692,61.163249763929,70.4485106444399,72.7126204536601,71.1185316876314,75.8452358026336,74.5443894357869,76.2519024936903,84.4896918397057,86.8560071736054,83.470074383924,70.8772776632343,81.2474349163499,89.0553314530833
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7593920215385,83.5347231135943,63.1433344000533,58.7520682213844,58.8937270748068,49.5929043099541,49.9061812781684,51.2999338862684,51.0713995575553,47.229011695781,53.6989784883827,55.1820965559238,55.0780527967482,53.7974271521735,57.808897728349,62.1779761258364,66.5404943169691,69.5573164618191,67.1423971511815,58.3894822463497,65.4247021139967,72.2967090950638
