CO2 emissions (kg per 2005 PPP $ of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Ethiopia,,,,,,,,,,,,,,,,,,,,,,0.085777850295652,0.067464992779815,0.077606314033538,0.072099637803813,0.088470227930907,0.098440810023653,0.100772318283278,0.103828185632853,0.110207783376272,0.114518472820636,0.121971615499804,0.132734139208973,0.204178357899535,0.115093948940204,0.077728220265628,0.119782986719577,0.133159025026276,0.162178806068123,0.15567978476174,0.168612194889442,0.115052358086164,0.117869070133273,0.132993054922673,0.12300257615109,0.116212048761704,0.114517442615225,0.112424434532203,0.109928233605088,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,0.364707581765348,0.466284836658316,0.384979431192562,0.341338317444233,0.256771147875896,0.267497155292952,0.259256183598094,0.218731583450222,0.251659892689232,0.266811801891365,0.326960872982012,0.277265544724099,0.28404862591085,0.293421332122941,0.299030131807598,0.312390640610571,0.309168391557526,0.260707098201907,0.247415065702293,0.259400032859243,0.273186047037175,0.34874814515384,0.25842030819653,0.494228566069355,0.534771515698338,0.459903194148646,0.432338855534964,0.406434297769615,0.345678360636996,,,
Finland,,,,,,,,,,,,,,,,,,,,,0.682087450207921,0.598089846806517,0.48291963159567,0.453243268467005,0.444581341317802,0.505016705372033,0.531415391733579,0.555976728948055,0.475931889835067,0.457053167036862,0.441471999588955,0.506061130047303,0.469270094766789,0.500156296277871,0.55199374506177,0.467641431205001,0.529679058133071,0.48815260089086,0.440829296290794,0.412591586996601,0.368539197234679,0.389907827329482,0.414462608802391,0.45824301628233,0.427837827046755,0.338959471173558,0.392834874099599,0.36078871036743,0.318026602827323,,,
France,,,,,,,,,,,,,,,,,,,,,0.452064208268449,0.402800848476603,0.377891667440595,0.361083064281521,0.341235225878268,0.332130561654349,0.31243464907574,0.298719172472252,0.281402928459417,0.283474181830186,0.282161635978046,0.299302350109437,0.273818984217743,0.270151747060599,0.2508723975981,0.261697311553781,0.268701177779887,0.244506221988415,0.254969070335591,0.224044168024434,0.212745722495348,0.220482773343675,0.215417923050277,0.217257153950096,0.21326646540162,0.210580077297549,0.200503923791407,0.191923338512302,0.193465217570354,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,0.571395312624974,0.538883617429582,0.554558435146507,0.441996156879137,0.446637642655878,0.481919799957661,0.382061139466249,0.373324885202101,0.356462713568555,0.437310894702746,0.34890299273377,0.100309106586041,0.149225659779256,0.221146622094247,0.21775658664671,0.238758987244597,0.211133075093964,0.200296385741351,0.089075715983612,0.086163344702262,0.064294521607831,0.106602616944384,0.106668238734792,0.07812248113278,0.085555775089562,0.100107969629951,0.098736149869876,0.103742485060397,0.126786626689522,,,
Gambia,,,,,,,,,,,,,,,,,,,,,0.207107257176082,0.200448568132702,0.206690481576983,0.186403738200548,0.192314278415384,0.193889173503029,0.174379288100333,0.189543097132914,0.185123659054546,0.171320598768212,0.175561590520795,0.176820089543288,0.171041141179358,0.175264290034172,0.174994193062776,0.179550972473564,0.1756454173238,0.16744081895965,0.175488619876903,0.180395374051092,0.183204509869085,0.177778793445741,0.205228045184594,0.192035225212496,0.183560168783329,0.185190346739206,0.190729652939496,0.212883362069122,0.209373236852647,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19675595816587,1.0985302193462,0.749446297260985,0.276507188802045,0.439110207659282,0.433501150905528,0.4701358365304,0.400274855211234,0.410297000402257,0.325340314922474,0.277250274025378,0.278013025767465,0.27334951255387,0.300639434119806,0.319132039143612,0.311544941964976,0.262824606699768,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44473372215527,0.421556835921567,0.418071415612639,0.404493918351492,0.396898977645134,0.403608479724817,0.386542700978856,0.377460380878446,0.341123701887726,0.334067937358154,0.338439925829075,0.328579703456557,0.331702942081003,0.325095620829873,0.315509519898709,0.305110735753159,0.286483356885155,0.283206154527975,,,
Ghana,,,,,,,,,,,,,,,,,,,,,0.23604491958485,0.291223723664485,0.312510401270043,0.393340006313039,0.255638115182799,0.313395067131155,0.272944043284252,0.280828037034915,0.279217300116612,0.2575153987403,0.292942031136726,0.286291864046985,0.279098276272302,0.303125629373223,0.319049012632776,0.327940008262025,0.332575641990029,0.354555908898545,0.339415266578675,0.332736007026792,0.308129914284945,0.3254237643591,0.333689257160728,0.325195581537587,0.294877697631212,0.268068711605546,0.33618938171279,0.325449635710585,0.267595767917667,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,0.312954621272394,0.313519223373363,0.326029145938904,0.351044973892658,0.353486307831677,0.366264063235586,0.355536271520363,0.390462008268781,0.401057088725862,0.421571819587909,0.413277920220831,0.372695705557797,0.413279535116171,0.420795058473134,0.427362888124535,0.422961493010942,0.419530973146988,0.425836274412984,0.42775180912707,0.408081679433676,0.413044163163285,0.405879042867554,0.391816823230256,0.378001889214845,0.367523975910508,0.364972310252922,0.340934024520945,0.334172835433626,0.333335722923036,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,0.132870963580364,0.162151488573727,0.164198437867654,0.159530422592803,0.152245855144261,0.149148134276462,0.153090799334705,0.151507142239611,0.186435859340151,0.18831794776533,0.196911824432998,0.192490494161846,0.204763559440941,0.234351195192257,0.263159373922052,0.268141255308895,0.263168569093387,0.293502879812272,0.255803929892137,0.250272467523873,0.222234027125904,0.247801951333884,0.238562512737462,0.231172347690461,0.235208682849748,0.227725183149747,0.243089306803749,0.229856174619932,0.226592994349746,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,0.165507664415211,0.144657193460444,0.137062038831138,0.12332655901,0.132058806731732,0.136855902684533,0.143486320728997,0.149562372372584,0.148717906323599,0.147273893284261,0.171089834898314,0.163980836032021,0.186265459869586,0.168523601411992,0.195794020233271,0.195464869939248,0.176247217346535,0.192896188704396,0.211652687073812,0.207910354026958,0.222836797287903,0.233380641715188,0.236245109421031,0.220053791005088,0.224032711073393,0.235347078909458,0.225757591154547,0.223397033601816,0.19936419202556,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239374787279102,0.230875967187804,0.224388731682693,0.219603884476664,0.212717467533532,0.210898801332041,0.204218908456234,0.199720652933847,0.213792679643775,0.208036175171582,0.201189695950504,0.193356768287471,0.179157807233985,0.175200027686117,0.172954408222006,0.17051465212941,0.16757072258464,0.161159896539368,0.157476767922556,0.154981522044526,0.151207059669441,0.151799411516676,0.145039398186485,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,0.19410195657629,0.160153479298142,0.153698035549642,0.159104876555098,0.164516740843531,0.16870472114856,0.180909251399565,0.186359384337745,0.198333339513094,0.199603833756529,0.206044978968635,0.198887857358823,0.199534235869386,0.209192891891039,0.202706290592093,0.196717891404405,0.178559739439831,0.180558783109977,0.176385277186649,0.185808835752106,0.139308255891895,0.139030195500894,0.157969962595202,0.188337088390745,0.192537300439809,0.189873335601255,0.193647692498389,0.195144763596306,0.186630474907172,,,
Guyana,,,,,,,,,,,,,,,,,,,,,1.11898603067491,1.10926854544197,0.996746906801562,0.949322233471239,1.1260075423885,1.11110459692016,0.82569151947219,1.02506784659596,1.14189906746524,1.02251313781033,1.00602900214299,0.933960980837229,0.812351096686814,0.753306234264658,0.877318785678454,0.927480363556303,0.887369546109232,0.875417444061565,0.919167447329665,0.890677325415911,0.864979700680264,0.812579146832003,0.819666458526022,0.814255441303592,0.757897874449213,0.800148986916475,0.766635786217188,0.716482043193633,0.702433375680033,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09955736320777,0.095863159309078,0.073978961517927,0.03806424792702,0.108554514613194,0.120872233539984,0.153230423822283,0.129858635013906,0.136588442160661,0.139144047749991,0.161343721284639,0.18820943875686,0.178115628221824,0.211542898675219,0.217004480570834,0.216722540232047,0.237285803143952,0.238897861478878,,,
Honduras,,,,,,,,,,,,,,,,,,,,,0.201113975135006,0.173768581796429,0.170547101349602,0.195400193297232,0.185890464605214,0.171175850389866,0.164718518636594,0.182781454884624,0.201245208856978,0.21012892477381,0.199485702157834,0.201127548154189,0.217066038068693,0.189235941423911,0.224554197646755,0.250881831204777,0.247210809738826,0.247225599497112,0.268644263751152,0.279216776171054,0.280171737954909,0.309719854565562,0.318247438277191,0.338310327715257,0.346582652555346,0.338032262743756,0.304226852971987,0.354204470298469,0.326170754949719,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,0.235999298076536,0.242157785979621,0.248027073267208,0.24965845237969,0.241507755407296,0.247061159995959,0.248319043871419,0.240887903711369,0.231637251975778,0.233253347320777,0.204617284966667,0.202216591870704,0.22052760839624,0.218545294302464,0.184436567772043,0.181395636844084,0.16167927652331,0.161700295587314,0.218799118262822,0.232489220872558,0.204429097202697,0.19033055006632,0.181872512674406,0.191440766320332,0.169228164973167,0.166815671747251,0.148205458874362,0.14439260116519,0.136229181685518,,,
Hungary,,,,,,,,,,,,,,,,,,,,,0.714698092776837,0.692844613919419,0.675672061245834,0.688321956099585,0.683408831626923,0.649331444017259,0.620450409360878,0.602706083311405,0.559018352279332,0.539513316940814,0.46282234728797,0.528990142436889,0.505112219657376,0.520222875978657,0.488039817973655,0.497336479589213,0.518428110921664,0.495533972010395,0.468793888743212,0.45059970253299,0.410086967083135,0.393787862528047,0.370265810024471,0.375484495465994,0.347987428204884,0.338037313792212,0.321688466569463,0.313578259043423,0.304064918932422,,,
Iceland,,,,,,,,,,,,,,,,,,,,,0.374492322347348,0.337298535507669,0.301172465423363,0.297910322694078,0.335587757559987,0.291416176729024,0.302631318948087,0.280511794780768,0.295570724148821,0.300489144759946,0.31722873282596,0.310623988494441,0.300504609716316,0.312129031041248,0.30403109698228,0.293148109885721,0.318896213081501,0.289343580527297,0.271678145721189,0.256893324234299,0.257595780482958,0.240732941450665,0.248370224124367,0.242057988901448,0.23130566229835,0.212876251798633,0.206008976593646,0.203631577519673,0.191623675315801,,,
India,,,,,,,,,,,,,,,,,,,,,0.566373470886816,0.574541196899281,0.590255974496577,0.596910467713603,0.594597034481028,0.61981144687077,0.634299226171743,0.651573229725108,0.641643877214278,0.662189000909471,0.65364816447974,0.69104494854828,0.69579189460707,0.690115942983425,0.687294514200482,0.679646031318031,0.688332464680328,0.689045728183164,0.666244273994412,0.662362206670287,0.66021995768086,0.636569139207797,0.625155108894381,0.602786061683717,0.584791141094155,0.560575983454047,0.546906546841029,0.53377563707564,0.549797739113355,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,0.475065035474165,0.464186139599631,0.483170623738424,0.443617836397631,0.442434655372814,0.462100429797785,0.437870333709421,0.421405073500837,0.42445170711754,0.385583292919255,0.403976916730388,0.445663796978948,0.468484784993818,0.471352061021597,0.443943027685877,0.416080508724293,0.435254057322022,0.457351929866374,0.397142367390623,0.445356640456205,0.46113943094459,0.498270736158417,0.500636451888626,0.490986849751877,0.500215868763558,0.476930159755861,0.4545121858097,0.46592475356676,0.484098826164989,,,
Iran,,,,,,,,,,,,,,,,,,,,,0.436438228618531,0.429834186532743,0.46526342644813,0.448364054179114,0.458262810104143,0.479111041046274,0.486968111384976,0.531045640205228,0.625434865400599,0.639367508293263,0.667731875811666,0.610166881950545,0.619654054635164,0.58431067085074,0.757583926612064,0.708595353562117,0.665626439914362,0.652753965580981,0.691218487314824,0.679166866115046,0.691983880293148,0.702598201904046,0.686656418481426,0.704444114996872,0.719387717446717,0.713075270325569,0.722523160007559,0.689139924667709,0.716294736984891,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.980139971626804,0.77035537262859,0.616521298498139,0.64566087994865,0.814349716381662,0.903091218186046,1.60650098448159,1.1912063454507,1.18200416509173,1.15095471050961,1.1299049988641,1.05695351806829,,,
Ireland,,,,,,,,,,,,,,,,,,,,,0.584383051379441,0.560599391153608,0.537659048636756,0.542459176774363,0.516336617637707,0.524845912239385,0.57820342326009,0.569015929143393,0.534301594035063,0.501099145239201,0.474336580655147,0.506535500727068,0.462679347978643,0.451024096144873,0.445621218159262,0.408968760396688,0.402504913665918,0.376918955064557,0.362713364723094,0.344398059067516,0.321965385442213,0.328480679784706,0.307972033814884,0.290484105407631,0.281320742343125,0.267060730900864,0.253009675541534,0.247786644791847,0.250737665441324,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,0.362874437897319,0.346185885321792,0.386000205460352,0.370693449859427,0.364390639372429,0.368946904548706,0.376943919664336,0.361692675832212,0.389028497102428,0.407560456151347,0.402849095867673,0.382761744298809,0.438226449093841,0.451657643147917,0.440835846955712,0.475644948922712,0.451664565504915,0.511743211434706,0.485924417781202,0.465727256839144,0.430177677654474,0.451354829538114,0.436383314352563,0.44334103961447,0.409777619217468,0.365284257766393,0.383923434448838,0.204039626299004,0.200202254359608,,,
Italy,,,,,,,,,,,,,,,,,,,,,0.366340118177098,0.353046968214995,0.343837031237116,0.332217398209688,0.327433167760964,0.322406130597908,0.308657473941035,0.313162630303875,0.305341950512217,0.314339618919841,0.314938132246077,0.317340286329763,0.314169169221497,0.309348826136529,0.295299771198322,0.304743453294453,0.294901020147961,0.292208100844798,0.294333152804931,0.287014053898122,0.282687336220136,0.278077037844803,0.278207921934859,0.290148415677484,0.286516478776637,0.284421564595652,0.276453094927659,0.266714250060182,0.261459526108854,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,0.775907479759303,0.663140958095961,0.54494880376189,0.55460377459395,0.449288361159931,0.454006334000409,0.401897486773054,0.440806496245976,0.35666695547887,0.494476167556949,0.561693201830469,0.549831603621227,0.534204890609407,0.507465205691992,0.513408708429107,0.56384397939568,0.593286281029527,0.625594535510853,0.586193558078318,0.582739805143965,0.609961005859723,0.619832486769681,0.595022759205921,0.589705560173383,0.581207290466004,0.543783142704885,0.631793419169249,0.716063316513311,0.632371509603568,,,
Japan,,,,,,,,,,,,,,,,,,,,,0.456282879986685,0.42997774461077,0.406125091704789,0.396821900811876,0.408254515567574,0.379165037114343,0.369567363486376,0.352700391701891,0.362158138145894,0.353385511080461,0.339142870795305,0.329998231982115,0.334175959353655,0.329155763010728,0.345616388365342,0.342098984819311,0.339415303726561,0.333080186558844,0.327995698459482,0.339422971486389,0.335966117992288,0.330583535883082,0.333694224770519,0.334581428939063,0.331544918610333,0.31971039693866,0.311696456750348,0.309301515811689,0.302186834690998,,,
Jordan,,,,,,,,,,,,,,,,,,,,,0.551278123995813,0.653113177085409,0.652699904271347,0.748860142656591,0.781984938031562,0.772781695204377,0.784762511338714,0.794017207183577,0.779833713505401,0.893238739811907,0.996695896221777,0.921913264557816,0.972585232261446,0.917034065191572,0.984123116181039,0.921549419705869,0.944703166140845,0.929346738749386,0.909971308343522,0.881679634705334,0.90027775128719,0.882514509754698,0.880317610398788,0.874188684209114,0.886908573718429,0.896425471707517,0.818869991742477,0.782577492580578,0.723396721610039,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67518156199509,2.49296506610303,2.57349388632159,2.34303851711504,1.96727628651308,1.78162475532936,1.75281309248786,1.58977983885764,1.58803588440249,1.61968653086828,1.51538991847327,1.40351468114188,1.43328629793417,1.34506723107283,1.31712375376185,1.43158278291658,1.44406557645876,,,
Kenya,,,,,,,,,,,,,,,,,,,,,0.277073506375338,0.281217050507502,0.199222257004671,0.195265353932308,0.177855888348251,0.148809077559424,0.153295118115181,0.179891799454746,0.156779759105435,0.162369114625368,0.174765651499499,0.143211321012879,0.165254767089542,0.18864938173299,0.189862729871217,0.209514009828395,0.248437334616255,0.219076641785529,0.257547764560282,0.255147275178036,0.259752087200961,0.225094789279733,0.19039947785363,0.156798980583887,0.168378879482436,0.17856515451154,0.187804770190279,0.180215326104332,0.187632877875859,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,0.241770797203429,0.250463966613389,0.205228121609257,0.16140951570517,0.163406699548755,0.171308470464911,0.140568951792433,0.174012508210513,0.14716477269978,0.160939052269274,0.157577494088433,0.164688172431671,0.159607877840963,0.155528997445162,0.148212394880077,0.150064631895729,0.235884170233676,0.178911034179847,0.181370924762352,0.159001719274836,0.166798472496959,0.133846180580522,0.126042868132564,0.120613274550626,0.119525331020963,0.119167784856929,0.133653412346827,0.149750194205375,0.1345898135423,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,0.635998309201889,0.619866234991898,0.586270176438436,0.562622287091596,0.565419574157262,0.575628241687082,0.532189409540311,0.505632724880443,0.526666233301305,0.524216248153687,0.499659637740115,0.50287163949285,0.507055851259047,0.528627484251561,0.522789162315666,0.521694537573041,0.527348310812051,0.531737741517111,0.490823184093165,0.486696573328494,0.491164362609254,0.48086576197678,0.474639762659639,0.461884820524802,0.45713701231651,0.422085424265401,0.408153760475152,0.410913391836482,0.410521296743471,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,0.448195246419006,0.565622729936995,0.541584753416524,0.500698658971377,0.624562665942028,0.670551530174695,0.748137614481106,0.616391859132407,0.716718232121512,0.620671389727815,,,0.396064178301851,0.493021440590176,0.532987179677942,0.742872873388489,0.699453410008365,0.706721866993376,0.705610209843961,0.749766159351695,0.794021254633597,0.735364286749952,0.682659145645114,0.680375063468682,0.696278233107671,0.699138068716296,0.619258321577375,0.601991250331206,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23526715945976,1.11732195953778,1.02036497107897,0.796270741538409,0.928879271529128,0.829006369709438,0.862280494120259,0.651665726971619,0.613650303510651,0.486401916538291,0.623797223218897,0.634404199725201,0.629825090844506,0.583478621311917,0.564317834355666,0.649694585581424,0.575870119474568,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,0.06051109454966,0.063350363418756,0.062596109625917,0.063501509308543,0.064804204099071,0.063720299034242,0.059716555575824,0.06172965746229,0.064410930365041,0.060815197422335,0.060666598227589,0.059446135507006,0.094381151802984,0.118556175475746,0.141958003659359,0.133376598008362,0.148102265593171,0.158462109702781,0.165162733508493,0.159534007225818,0.154389923366696,0.147181798818395,0.144318148785223,0.135884865308405,0.12595638567187,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.879741473394259,0.795162777142601,0.726578755843761,0.627289538005257,0.598858707438382,0.488698007291045,0.441916307285885,0.356222729946465,0.30492272786212,0.313412520650985,0.285697724193607,0.284003059064399,0.262948042284674,0.239211719529008,0.225444946526038,0.214102415048285,0.214076106300878,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329635134287421,0.602144377890794,0.53788387017452,0.406304141786777,0.464918322684148,0.446016024569998,0.451417435348361,0.452869769354271,0.436427510318883,0.506462442620205,0.505511676263268,0.521048715531795,0.475524030968692,0.482894872733519,0.462272757821944,0.508688009562997,0.437287414973659,0.451064546393829,0.384157880085048,0.368689579352109,0.37211775153192,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,0.606039534155183,0.588141455007423,0.186881690860561,0.225341761007798,0.226632968125252,0.235740381765702,0.242199235397945,0.256943585052298,0.279869771665704,0.311481086335141,0.461330081229443,0.317813829096121,0.495866506468523,0.824111680487309,1.04137429094777,1.13779428030981,1.04824409192783,0.524384182189915,0.441818353964572,0.376451449971801,0.321068493052649,0.359216201676585,0.346399401008081,0.533663913913487,0.61340680994898,0.688137902821058,0.654147536680616,0.534391761956576,0.447720152849278,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74174207103421,0.753484162074079,0.808230273315646,0.763550987620099,0.697613313927289,0.683860745751254,0.644205425991293,0.628012500908213,0.597110295917672,0.619072724928622,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645273507943561,0.608330560311966,0.668942073715592,0.604540840599668,0.557975005630476,0.506245936630326,0.49667524923103,0.424429555006808,0.36626127868169,0.363363324477817,0.347746865863582,0.308334968432533,0.29635559816441,0.288826062903778,0.273427988728644,0.263621654032059,0.255999672735644,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,1.09679201715283,0.942957877127878,0.876196610980153,0.796185082631109,0.807497779306529,0.806537017767963,0.720709422286506,0.665098619657539,0.633494260522061,0.617954691220204,0.606988441354827,0.600316364952987,0.65466833028458,0.575969047907414,0.523940567889862,0.422019231385008,0.420092462679607,0.372070131409416,0.324634481345349,0.312864098570254,0.309150786162493,0.314181088682122,0.331456243659981,0.343549300085222,0.367153387061902,0.356436993828453,0.339114079482961,0.304808752226356,0.29301376939542,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,0.109861915301019,0.140732205550893,0.115062751676811,0.1385004985427,0.155115366221674,0.150472302019363,0.138531226348908,0.140964239015184,0.130986936214189,0.133480057010567,0.117020492234573,0.12175855347601,0.126106712938116,0.11824139312964,0.135175444397179,0.14366092255639,0.157215312521665,0.157686107406938,0.159175792967128,0.159545522373324,0.13245884065902,0.118491054236441,0.104950711049081,0.102855735658089,0.079810108966656,0.066591189978383,0.055153597271044,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.755434040321962,0.783360061746468,0.807274813279948,0.845254227304831,0.904875686444186,0.807896434025325,0.92781925084696,0.825698394575162,0.812745660388602,0.846611037816085,0.765045629150229,0.769540206405282,0.727874443892098,0.700945493234291,0.647353403263426,0.633223484991041,0.629335380572845,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,0.145425421527227,0.102483065744497,0.102881374579889,0.066866103888505,0.09516731192117,0.105929618135523,0.11305099923869,0.126006075622892,0.12185871537689,0.085386514988642,0.084363094166194,0.098078190128448,0.094281959687422,0.094614017474384,0.11640675503444,0.114128381055903,0.120153825187525,0.13965077488171,0.137262852683295,0.14526363957629,0.134965497007427,0.118335916857647,0.096140914755864,0.124471889742424,0.130352297314035,0.109747358904236,0.104049351690135,0.10407167804259,0.102872858090035,,,
Malawi,,,,,,,,,,,,,,,,,,,,,0.165584279432071,0.148698308001923,0.142429056784663,0.133084088177251,0.122290593736407,0.116945055935589,0.116425766072135,0.113046428063022,0.108829884790402,0.111739359468855,0.114645919441381,0.113648660564411,0.121960625077471,0.117396214248568,0.135633320720081,0.11797373072378,0.107168396402987,0.110171614420277,0.115774282880977,0.135225038210842,0.12089093113919,0.12722008433559,0.122054786543247,0.125292715139476,0.121035979833672,0.110872924117377,0.10706391929626,0.101194630714801,0.12006021139488,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,0.415875444742203,0.428149572091256,0.400822564173973,0.468557071956653,0.397310456867214,0.419655886799587,0.457780884451053,0.442819286013638,0.422176882817622,0.451966764615962,0.47038906356623,0.520439402483817,0.524707771935714,0.581610179600216,0.545836896275493,0.640363174216526,0.60252362857219,0.558933334034397,0.551933294144338,0.491543449892011,0.529642102232664,0.569006500900633,0.533630190840868,0.598267716878311,0.587439329302196,0.608829125587493,0.562562687177933,0.573969420297277,0.58514359291575,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345819592236667,0.367748043973335,0.382865209358181,0.317336773358641,0.41302681268077,0.422165431283285,0.471078942353111,0.531959084333158,0.397136980579007,0.452988008463701,0.440085713950068,0.464300506295142,0.428082200848123,0.391627055795532,,,
Mali,,,,,,,,,,,,,,,,,,,,,0.072195391014335,0.076233176134993,0.074019020686768,0.080518435837554,0.080531060879217,0.084740621265901,0.073220261991542,0.069355440502775,0.073224588392591,0.07113309369884,0.073111589062816,0.074451419121326,0.069879465803966,0.07317757815934,0.073685728426444,0.070479281222066,0.070948952534948,0.071452490307696,0.066444483268577,0.06490095042246,0.063316330897828,0.056863643126168,0.055328926711444,0.050132688411308,0.051396674562623,0.048765572670241,0.046311085156924,0.045261197258491,0.044197190812993,,,
Malta,,,,,,,,,,,,,,,,,,,,,0.309012292521722,0.334484791783986,0.375227958461929,0.286846020384226,0.388641671979269,0.333019096177284,0.397029477294242,0.476456946309801,0.476825159667321,0.475297076720495,0.448674917929664,0.426521699777016,0.418274618050631,0.473125014707905,0.445972922669998,0.425158610947846,0.450930534295314,0.468125703010193,0.29468469986777,0.307859227714342,0.257840841171112,0.315609925687519,0.284417293118265,0.32032784271496,0.316560926567226,0.319083117648916,0.298782522193419,0.30241253080341,0.269618328212129,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,0.211224975451211,0.214864016695719,0.292944332773108,0.298800620616338,0.285758070643297,0.210438113923306,0.113433351504594,0.977851216504958,0.945219404179238,0.795626707288554,0.757851943416235,0.7680938153203,0.807243682325646,0.76720714153331,0.834528427958142,0.726014501241948,0.689463456976556,0.718525639216476,0.254644115188118,0.255135769622097,0.255455032352088,0.268860672873109,0.293793682135201,0.285140038697018,0.299603401598155,0.282441126673457,0.23970954494995,0.275218064922306,0.272364257006869,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,0.16389967473474,0.142295231757283,0.124855815694024,0.147983127683909,0.148279366676593,0.156474279061063,0.161053119400752,0.172327353729189,0.148026803182576,0.17453997493762,0.226383546402068,0.225461365667539,0.237688716241366,0.234930509140212,0.206488703128232,0.223028248661141,0.225194116163903,0.218282227426351,0.226179664935496,0.247655975519029,0.254828603260922,0.266203812720845,0.261983492471985,0.266730473359624,0.256059273659686,0.270051885594669,0.287731097386759,0.279679781797033,0.269558229452983,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,0.381236201698276,0.371477937892933,0.400833960478132,0.38578377100436,0.386339443082667,0.383026450650567,0.406484265162347,0.41655781531541,0.412143878738819,0.41356153099131,0.386589343182858,0.383439286437533,0.376656148993408,0.368168827114278,0.374114853760701,0.379937096978532,0.371517635966659,0.354529275343028,0.347828352680543,0.342638392853233,0.323281623664693,0.332736296722465,0.32764080102833,0.332608824698679,0.322546855590316,0.333293972633335,0.323554006079752,0.319160813225797,0.333615998895485,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176610416495571,0.169036921872332,0.16628843036912,0.165456196894815,0.16260414533049,0.168052446955293,0.16460402781761,0.164351671975134,0.190330762176423,0.195014842119124,,,
